"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"rlogBlind",0.873106060606061,0.909090909090909,0.904545454545454,0.846139971139971,0.904545454545454,0.873106060606061,0.871521123069111,0.527753329812826,0.454631096507527,0.508724663758989,0.891098484848485
"rlog",0.873106060606061,0.909090909090909,0.904545454545454,0.846139971139971,0.904545454545454,0.873106060606061,0.871521123069111,0.527753329812826,0.454631096507527,0.508724663758989,0.891098484848485
"vstBlind",0.761363636363636,0.909090909090909,0.904545454545454,0.774358974358974,0.904545454545454,0.761363636363636,0.782242370632464,0.527753329812826,0.398819652252146,0.452913219503609,0.835227272727273
"vst",0.818181818181818,0.89520202020202,0.876767676767677,0.797237076648841,0.876767676767677,0.818181818181818,0.821941291136338,0.527753329812826,0.421597006265198,0.482936950328255,0.856691919191919
