"","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue"
"rlogBlind",0.919080495739535,0.799481410739386,0.692895137335681,0.991562569220683,0.624668322608826,0.0670379459729852,0.913250020364492
"rlog",0.934952114585982,0.867410002278423,0.720811581505746,0.987288162443011,0.624668322608826,0.0217359307919043,NA
"vstBlind",0.91183411892794,0.802158825890415,0.683643503731063,0.988722312323196,0.624668322608826,0.0671100783192527,0.874702179831654
"vst",0.941647597254005,0.878569716727533,0.729133812348496,0.99040860343143,0.624668322608826,0.0220618840259139,NA
