"","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue"
"rlog",0.862725654716502,0.731532433325713,0.634601040299489,0.970851005063388,0.580371217899822,0.0333357000004731,0.421908136540903
"rlogBlind",0.862725654716502,0.731532433325713,0.634601040299489,0.970851005063388,0.580371217899822,0.0333357000004731,0.421908136540903
"vst",0.82977370963641,0.664287930737257,0.60160132275732,0.946838748092179,0.580371217899822,0.0473760546390754,NA
"vstBlind",0.81113653699466,0.619802014097726,0.574365552904701,0.943565564401672,0.580371217899822,0.0493491720308323,0.247493537587509
