"","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue"
"rlog",0.886778540554284,0.762879316599794,0.666112293877159,0.977777188957901,0.580371217899822,0.0132119577118919,NA
"rlogBlind",0.886778540554284,0.762879316599794,0.666112293877159,0.977777188957901,0.580371217899822,0.0132119577118919,NA
"vst",0.890363590134757,0.776547176597781,0.667827938995005,0.980168565797185,0.580371217899822,0.0048083245968849,0.819315039927785
"vstBlind",0.890363590134757,0.776547176597781,0.667827938995005,0.980168565797185,0.580371217899822,0.0048083245968849,0.819315039927785
