"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"rlog",0.866883116883117,0.88982683982684,0.889523809523809,0.884382284382284,0.889523809523809,0.866883116883117,0.876770186335404,0.464073226544622,0.403407068395627,0.455962369692347,0.878354978354978
"rlogBlind",0.866883116883117,0.88982683982684,0.889523809523809,0.884382284382284,0.889523809523809,0.866883116883117,0.876770186335404,0.464073226544622,0.403407068395627,0.455962369692347,0.878354978354978
"vst",0.877272727272727,0.910606060606061,0.884206349206349,0.898809523809524,0.884206349206349,0.877272727272727,0.874920634920635,0.464073226544622,0.405822527332825,0.45720823798627,0.893939393939394
"vstBlind",0.877272727272727,0.910606060606061,0.884206349206349,0.898809523809524,0.884206349206349,0.877272727272727,0.874920634920635,0.464073226544622,0.405822527332825,0.45720823798627,0.893939393939394
