"","x"
"1",0.703284677222984
"2",0.643281926768797
"3",0.632423634734035
"4",0.625740688051088
"5",0.622649998783928
"6",0.608572932059803
"7",0.600137369800711
"8",0.595139883626754
"9",0.584906489945085
"10",0.57062077565937
