"","x"
"1",0.805317710646449
"2",0.869150249616846
"3",0.900626866947121
"4",0.886267892588147
"5",0.871565847451319
"6",0.901522267842522
"7",0.895881242201497
"8",0.876769297235893
"9",0.856704971317909
"10",0.821981548163945
