"","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue"
"rlog",0.883962623951183,0.770297894598317,0.662344491808482,0.979586768258651,0.572686244597,0.0138847646437661,0.4939815700417
"rlogBlind",0.883962623951183,0.770297894598317,0.662344491808482,0.979586768258651,0.572686244597,0.0138847646437661,0.4939815700417
"vst",0.842772692601068,0.686242266362748,0.62109484488077,0.94957144704464,0.572686244597,0.031435207942019,NA
"vstBlind",0.805587337909992,0.606077818826977,0.57150131397957,0.938403226282483,0.572686244597,0.0516290475971322,0.247313652236905
