"","Breast","CRC","GBM","Lung","average"
"Accuracy",0.888888888888889,1,0.842105263157895,0.869565217391304,0.900139842359522
"Kappa",0.766233766233766,1,0.670520231213873,0.737642585551331,0.793599145749743
"AccuracyLower",0.652879561391328,0.823533088193035,0.604215448733326,0.664110862462879,0.686184740195142
"AccuracyUpper",0.986248784335636,1,0.966173750998235,0.972248492577207,0.981167756977769
"AccuracyNull",0.611111111111111,0.578947368421053,0.578947368421053,0.521739130434783,0.572686244597
"AccuracyPValue",0.0105150987836006,3.09131029270947e-05,0.0147768580321714,0.000507248875127303,0.0064575296984566
"McnemarPValue",1,NA,1,1,NA
