"","Breast","CRC","GBM","Lung","Pancreas","average"
"Accuracy",0.833333333333333,0.842105263157895,0.894736842105263,0.652173913043478,0.833333333333333,0.81113653699466
"Kappa",0.674698795180723,0.691891891891892,0.776470588235294,0.28125,0.674698795180723,0.619802014097726
"AccuracyLower",0.585822508605226,0.604215448733326,0.668623335543234,0.427343963036494,0.585822508605226,0.574365552904701
"AccuracyUpper",0.964214916878425,0.966173750998235,0.986987835628223,0.83623640162505,0.964214916878425,0.943565564401672
"AccuracyNull",0.611111111111111,0.578947368421053,0.578947368421053,0.521739130434783,0.611111111111111,0.580371217899822
"AccuracyPValue",0.040229669765633,0.0147768580321714,0.00325405117340831,0.148255611417316,0.040229669765633,0.0493491720308323
"McnemarPValue",0.248213078989924,0.248213078989924,0.479500122186953,0.0133283287808176,0.248213078989924,0.247493537587509
