"","Breast","CRC","GBM","Lung","Pancreas","average"
"Accuracy",0.833333333333333,0.842105263157895,1,0.695652173913043,0.777777777777778,0.82977370963641
"Kappa",0.674698795180723,0.691891891891892,1,0.378378378378378,0.576470588235294,0.664287930737257
"AccuracyLower",0.585822508605226,0.604215448733326,0.823533088193035,0.470808333991493,0.52362723426352,0.60160132275732
"AccuracyUpper",0.964214916878425,0.966173750998235,1,0.8678971203019,0.935907952282333,0.946838748092179
"AccuracyNull",0.611111111111111,0.578947368421053,0.578947368421053,0.521739130434783,0.611111111111111,0.580371217899822
"AccuracyPValue",0.040229669765633,0.0147768580321714,3.09131029270947e-05,0.0707033908673444,0.111139441427301,0.0473760546390754
"McnemarPValue",0.248213078989924,0.248213078989924,NA,0.130570018115737,0.133614402537715,NA
