"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"rlogBlind",0.933712121212121,0.866161616161616,0.855934343434343,0.932659932659933,0.855934343434343,0.933712121212121,0.885033315385651,0.527753329812826,0.493216504658152,0.570574755357364,0.899936868686869
"rlog",0.882575757575757,0.684343434343434,0.807451807451807,NA,0.807451807451807,0.882575757575757,0.831488443330549,0.527753329812826,0.471964703658068,0.584223239257564,0.783459595959596
"vstBlind",0.924242424242424,0.796717171717172,0.8496632996633,0.860119047619048,0.8496632996633,0.924242424242424,0.877129841835724,0.527753329812826,0.483934427298272,0.566866814006402,0.860479797979798
"vst",0.912878787878788,0.737554112554113,0.885897435897436,NA,0.885897435897436,0.912878787878788,0.892195767195767,0.527753329812826,0.484444574833591,0.558627849817781,0.82521645021645
