"","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue"
"rlogBlind",0.904587742116346,0.769057391272581,0.67387502441951,0.986618547519761,0.624668322608826,0.0659862129621301,1
"rlog",0.880007758154211,0.707575148995409,0.642780759688482,0.981526954772131,0.624668322608826,0.122045004409224,0.787952200196146
"vstBlind",0.907661666242902,0.808455253154471,0.684293819650492,0.979912577733916,0.624668322608826,0.028878594737421,NA
"vst",0.956203915586067,0.90978533212022,0.746108191710305,0.997068571788941,0.624668322608826,0.0211257222270699,NA
