"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"rlogBlind",0.954545454545454,0.955808080808081,0.951515151515152,0.949074074074074,0.951515151515152,0.954545454545454,0.9496632996633,0.527753329812826,0.501988434482714,0.52677867094343,0.955176767676768
"rlog",0.961038961038961,0.911616161616161,0.899358974358974,0.927777777777778,0.899358974358974,0.961038961038961,0.926322751322751,0.527753329812826,0.505673557733054,0.556228689523884,0.936327561327562
"vstBlind",0.894751082251082,0.911616161616161,0.891720779220779,0.858585858585858,0.891720779220779,0.894751082251082,0.889868927368927,0.527753329812826,0.469588361464791,0.519656163820923,0.903183621933622
"vst",0.922348484848485,0.939393939393939,0.916666666666667,0.941724941724942,0.916666666666667,0.922348484848485,0.918452380952381,0.527753329812826,0.494191163527548,0.529766212260491,0.930871212121212
