"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000142089",95.0157320883115,1.77350493059241,0.199511158805036,8.8892518153608,6.15217583628827e-19,5.23857772459946e-15
"ENSG00000168421",18.1468905119355,-3.57179434231609,0.4183441909138,-8.53793220963372,1.36645044319483e-17,5.81766276190198e-14
"ENSG00000168028",537.555774124774,-1.81254274867224,0.214491082226862,-8.45043406865353,2.90221771043855e-17,6.17809595109607e-14
"ENSG00000211772",295.204408730131,-2.60032275917565,0.307628030566969,-8.45281476588191,2.84362632889211e-17,6.17809595109607e-14
"ENSG00000143226",97.227578191126,1.99477945666059,0.24205148164349,8.24113714618217,1.70581559691151e-16,2.9050039615403e-13
"ENSG00000229164",160.921837623989,-3.12677864925912,0.38366650091143,-8.14973066929536,3.64735682127846e-16,5.17620722219769e-13
"ENSG00000108848",275.190956512038,-2.60211795323941,0.321235247379292,-8.10035005332718,5.48012710886971e-16,6.66618319028937e-13
"ENSG00000130948",34.4121561080767,-2.54393258281598,0.321291192882429,-7.91784100894073,2.41670110236476e-15,2.57227623582949e-12
"ENSG00000116754",195.382735972771,-1.95437488203027,0.247575810209134,-7.89404619287868,2.92543809922017e-15,2.76778949053998e-12
"ENSG00000150045",54.6865546703303,-3.01891870766952,0.383265732211935,-7.87682919171117,3.35793453766256e-15,2.85928125881967e-12
"ENSG00000132485",105.74533160806,-2.66404380282456,0.339385085664673,-7.84961954826957,4.17301227839518e-15,3.23029086823045e-12
"ENSG00000196199",72.1090696048317,-2.6666933063624,0.346648843930792,-7.69278003677635,1.43971911216787e-14,1.02160068667578e-11
"ENSG00000100316",3887.66758137183,-1.70319370348074,0.222113585389093,-7.66812034706084,1.74535091465114e-14,1.14320484909649e-11
"ENSG00000162894",25.7316353617599,-3.4426787623404,0.454468009291055,-7.57518393365199,3.58619176190307e-14,2.18117306090033e-11
"ENSG00000174501",133.091739469468,-3.10510984923018,0.410843308867972,-7.55789319725304,4.09650184153559e-14,2.32544754537837e-11
"ENSG00000142541",2316.48141686609,-1.66006485035304,0.223309706079144,-7.43391265655371,1.05431601656242e-13,5.61093805064315e-11
"ENSG00000177337",11.3342667006856,2.04676489360829,0.2800209060688,7.3093288724143,2.68479932812686e-13,1.34476860464707e-10
"ENSG00000135968",105.833439164783,-1.65712912894506,0.228578673698558,-7.24971014194626,4.17664484777569e-13,1.97578504882278e-10
"ENSG00000196912",64.8676222040341,-3.81773516090369,0.529102599413936,-7.21549122066766,5.37396278149482e-13,2.40838384654886e-10
"ENSG00000096401",97.0042294125977,-1.17118033185236,0.162890454409927,-7.1899875047619,6.47972520018092e-13,2.75874300397703e-10
"ENSG00000122406",974.957875201744,-1.80647271102652,0.253763417250968,-7.1187278710073,1.08927732130667e-12,4.4167601861554e-10
"ENSG00000101361",71.6888562481646,-2.05039240262203,0.28830492056412,-7.11188833895054,1.14465857160276e-12,4.43034897145341e-10
"ENSG00000089012",12.963613007739,-4.28194585924611,0.605897150845958,-7.06711667692715,1.58185945844416e-12,5.85631882115306e-10
"ENSG00000172159",225.017756280643,1.33542206095374,0.18929860947686,7.05457934764692,1.73123640039996e-12,6.14228247891903e-10
"ENSG00000145649",64.8534393336958,-2.87317604636859,0.411556637198775,-6.98124094395516,2.92584018782308e-12,9.9654116797254e-10
"ENSG00000172116",10.5576478177297,-3.8972293364089,0.559208297896439,-6.96919082043134,3.18769093368277e-12,1.04396878078111e-09
"ENSG00000163682",1376.31118347207,-1.79575548949277,0.258143260345338,-6.95642987963527,3.49003840396623e-12,1.10065470406564e-09
"ENSG00000104324",86.7775179746722,1.41755319036737,0.204264926255623,6.93977775016256,3.92717280981669e-12,1.19428130269961e-09
"ENSG00000085224",212.575941754848,-1.15178489077644,0.167185488438758,-6.88926354513329,5.60819575329861e-12,1.64668230480475e-09
"ENSG00000102265",2045.63394605484,1.18635543454499,0.173523133327962,6.83687190170059,8.09410547958895e-12,2.29737693862333e-09
"ENSG00000170144",71.9603435271131,-1.56539169648,0.230026797403975,-6.8052579705783,1.00868324044181e-11,2.77062509431034e-09
"ENSG00000105374",177.174666877454,-1.98278376726913,0.292897097029876,-6.76955759335123,1.29176784417147e-11,3.43731349785003e-09
"ENSG00000138795",54.4877488358519,-3.64463224687043,0.540464532266617,-6.74351789854823,1.54596921643146e-11,3.98906905391329e-09
"ENSG00000163492",20.8898523223202,-4.86861333861324,0.722864384035631,-6.73516837478226,1.63740210448165e-11,4.100729094018e-09
"ENSG00000204628",1338.09779948182,-1.37469963850866,0.20481953805622,-6.71176027226134,1.92290427822691e-11,4.67815140831491e-09
"ENSG00000074966",43.855651178262,-2.79278210185691,0.417666041231451,-6.68663914744576,2.28354019130349e-11,5.40120686915256e-09
"ENSG00000147168",442.979079608239,-2.49984341642051,0.374620960766348,-6.67299398118746,2.50636675271636e-11,5.6162402366789e-09
"ENSG00000186854",13.4410946704766,-4.10560843275235,0.615032466767575,-6.67543366341322,2.46502147582966e-11,5.6162402366789e-09
"ENSG00000211829",43.339043969598,-2.32772015900076,0.350433609870164,-6.64239985389295,3.08616352076809e-11,6.73812368701032e-09
"ENSG00000115523",474.168311615125,-2.22572142439847,0.33546780490422,-6.63467966779685,3.25208008202395e-11,6.92286547460848e-09
"ENSG00000115085",28.1844973365122,-3.00099852386456,0.45343247184096,-6.6184023205933,3.63101708340731e-11,7.19025824772401e-09
"ENSG00000117523",428.666797771622,-0.888261804538905,0.134153313251127,-6.62124388143982,3.561887440266e-11,7.19025824772401e-09
