"","Breast","CRC","GBM","Lung","average"
"Accuracy",0.833333333333333,0.842105263157895,0.947368421052632,0.91304347826087,0.883962623951183
"Kappa",0.674698795180723,0.691891891891892,0.890173410404624,0.82442748091603,0.770297894598317
"AccuracyLower",0.585822508605226,0.604215448733326,0.739719345804786,0.719620664090589,0.662344491808482
"AccuracyUpper",0.964214916878425,0.966173750998235,0.998668371195821,0.989290033962124,0.979586768258651
"AccuracyNull",0.611111111111111,0.578947368421053,0.578947368421053,0.521739130434783,0.572686244597
"AccuracyPValue",0.040229669765633,0.0147768580321714,0.000458075979737858,7.4454797522194e-05,0.0138847646437661
"McnemarPValue",0.248213078989924,0.248213078989924,1,0.479500122186953,0.4939815700417
