"","Breast","CRC","GBM","Lung","average"
"Accuracy",0.833333333333333,0.842105263157895,1,0.695652173913043,0.842772692601068
"Kappa",0.674698795180723,0.691891891891892,1,0.378378378378378,0.686242266362748
"AccuracyLower",0.585822508605226,0.604215448733326,0.823533088193035,0.470808333991493,0.62109484488077
"AccuracyUpper",0.964214916878425,0.966173750998235,1,0.8678971203019,0.94957144704464
"AccuracyNull",0.611111111111111,0.578947368421053,0.578947368421053,0.521739130434783,0.572686244597
"AccuracyPValue",0.040229669765633,0.0147768580321714,3.09131029270947e-05,0.0707033908673444,0.031435207942019
"McnemarPValue",0.248213078989924,0.248213078989924,NA,0.130570018115737,NA
