"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"rlog",0.885064935064935,0.846969696969697,0.906190476190476,0.917715617715618,0.906190476190476,0.885064935064935,0.89416149068323,0.511081773553169,0.461526726515285,0.507244420974398,0.866017316017316
"rlogBlind",0.885064935064935,0.846969696969697,0.906190476190476,0.917715617715618,0.906190476190476,0.885064935064935,0.89416149068323,0.511081773553169,0.461526726515285,0.507244420974398,0.866017316017316
"vst",0.859090909090909,0.910606060606061,0.884206349206349,0.823809523809524,0.884206349206349,0.859090909090909,0.864444444444444,0.511081773553169,0.433172954683252,0.484558665336697,0.884848484848485
"vstBlind",0.859090909090909,0.910606060606061,0.884206349206349,0.823809523809524,0.884206349206349,0.859090909090909,0.864444444444444,0.511081773553169,0.433172954683252,0.484558665336697,0.884848484848485
