"","GBM_ge$X","ENSG00000239961","ENSG00000160185","ENSG00000101425","ENSG00000231027","ENSG00000198722","ENSG00000154016","ENSG00000132386","ENSG00000118520","ENSG00000197353","ENSG00000147174","ENSG00000115590","ENSG00000186854","ENSG00000103175","ENSG00000159713","ENSG00000078018","ENSG00000117318","class"
"25","VU439-1-GBM-vIII",-0.798484137,-1.179072289,0.80666398,-1.08760307,-0.922027672,-0.785179831,-0.941140627,-0.775849188,-0.716411918,-0.627866903,0.38491889,0.372849569,-0.662727952,-0.897052492,-1.370840955,-0.35032949,"GBM"
"26","GBM-440",-0.791393337,1.233635683,2.469490032,0.310272061,0.819741064,0.875112074,0.489369235,1.998878706,-0.708633704,-0.605921479,1.88272347,1.363588914,0.497534033,-0.886002582,0.520579105,1.506404945,"GBM"
"27","VU443-1-GBM-WT",1.096134711,0.237353395,1.125240582,-0.922177694,0.313391101,-0.537584623,-0.783784684,-0.614065041,-0.500746424,0.919436077,0.879049223,0.169322853,1.162589012,-0.75167476,0.986707575,-0.951285533,"GBM"
"28","VU445-1-GBM-WT",-0.478836295,0.088120515,0.548326713,-0.849897017,-0.683776425,-0.364153203,-0.716825419,0.414482308,-0.367975764,-0.238947429,0.524015686,0.016553507,-0.427041323,-0.681767585,-0.607371509,-0.875462831,"GBM"
"29","VU454-1-GBM-WT",-0.846461626,-0.0348518,0.50440358,0.592051945,1.26796678,-0.834498902,-0.61468013,1.865010945,-0.770144838,1.237782905,2.273702151,-0.557784044,1.242730934,-0.976255079,1.514210274,0.049068946,"GBM"
"30","VU456-1-GBM-WT",-0.74519181,0.076010921,-0.042480568,-0.997050027,1.731383933,-0.7187346,-0.854276841,0.664217499,-0.644773459,0.804073779,1.887275158,0.501140676,1.975928969,-0.81733165,1.067324632,-1.031195746,"GBM"
"31","VU468-1-GBM-WT",-0.734456282,-0.631453846,-0.719359464,0.372199429,-0.808831166,-0.68114472,-0.837846848,0.181088085,1.315223019,0.051910067,-0.976996687,0.248551935,0.303990252,-0.802103016,-1.234886139,-0.103935399,"GBM"
"32","GBM-471",0.533557454,-0.78753903,-0.419368115,-1.074219438,1.76866035,0.224365917,-0.41318662,1.032065814,-0.708103395,0.931338889,2.176190327,0.017116314,2.364574075,-0.88525259,1.657180753,-1.115445407,"GBM"
"33","GBM-475",-0.748542687,-1.082919092,0.273031195,-1.002517764,1.243944082,-0.72374041,-0.859471332,1.092575077,-0.655647559,1.426965747,-0.694690226,-1.186319484,1.533454319,-0.822136627,1.006017932,-1.03709623,"GBM"
"34","GBM-476",-0.742554984,0.440550359,-0.732171181,-0.99276638,-0.822008743,-0.714642268,-0.850211755,0.673630912,-0.636293145,0.814560762,1.486027311,-0.475335033,1.569217625,-0.813568126,1.359045651,-0.133133712,"GBM"
"35","GBM-480",-0.766710994,0.192192621,1.153770829,-0.055045534,1.586621725,-0.751712228,0.255582056,3.26200496,-0.681861112,2.202172814,2.651620137,0.120915876,-0.108018353,0.416945188,1.600445842,-0.550394384,"GBM"
"36","GBM-484",-0.728823166,-0.149795408,-0.266233136,0.395222316,-0.800609079,-0.660274727,0.407597455,0.834258931,-0.594672001,-0.432200048,1.536865406,0.624087513,-0.572343415,1.297298362,-0.54005425,-0.435626544,"GBM"
"37","GBM-485",-0.744172126,0.186160562,-0.7347686,-0.356940751,-0.82467393,-0.717220134,-0.852702508,-0.682304631,-0.641486168,-0.935947498,0.590012753,-0.124548757,-0.591811892,-0.815874445,0.425341322,-1.029407892,"GBM"
"38","GBM-486",0.391734824,-0.271191968,3.636865627,-0.223885723,0.466545729,-0.557470638,1.608495163,3.494087234,-0.51597019,-0.365818181,2.687725259,0.01701328,1.141047093,-0.758773051,0.52555835,-0.959867882,"GBM"
"39","GBM-499",-0.661387732,-1.014350367,0.242665765,-0.242862866,-0.24911398,-0.580394198,-0.80006787,-0.629876829,-0.533519353,1.001216851,-0.404361749,-1.113560395,-0.533147318,-0.766913705,0.372115405,-0.969725807,"GBM"
"40","GBM-505",-0.743170881,-1.073266129,-0.733158846,-0.993765455,0.464932522,-0.715736994,-0.851159503,0.881967193,-0.638268008,0.869773402,0.135012349,-1.176072366,-0.59058744,-0.814445823,1.098405312,-1.027655812,"GBM"
"41","HD-1",1.805007967,0.157868687,1.19615756,2.151396087,-0.280370644,0.597582243,2.422814882,0.218437353,1.724711864,-0.412555822,0.954019694,0.198804691,-0.557348695,2.351040541,-1.210286144,0.697663564,"HC"
"42","HD-2-1",2.234182492,0.465434421,-0.615646775,1.913896593,-0.137318362,-0.406237096,0.374219916,-0.553165412,2.598482689,-0.801937726,0.638232583,-0.540742495,-0.447691215,1.755348773,-1.102109216,-0.244028168,"HC"
"43","HD-3-1",-0.638173734,0.720701843,-0.670601779,-0.220084778,-0.758215018,-0.552896096,-0.789622542,-0.619713173,-0.512468144,-0.864386851,-0.388264065,0.730837912,-0.51965444,0.700680479,-0.257131335,0.00974379,"HC"
"44","HD-4",-0.579492032,-0.971984972,0.681332925,1.355130382,-0.730751744,2.924440657,1.454819343,-0.592841913,-0.459253665,-0.834777271,-0.896335224,-0.593439097,-0.485546352,1.765468626,0.533680161,0.860355758,"HC"
"45","HD-5",1.094106221,-0.257411462,-0.665318113,0.531258779,-0.222676168,-0.538907146,1.697179804,-0.614552562,-0.501758883,-0.858428954,-0.110155734,0.168126442,-0.512790285,0.716027864,-1.166541218,-0.951857156,"HC"
"46","HD-7",2.421587089,-1.148990753,0.938617018,1.584542951,-0.893568429,-0.769870657,2.098161157,-0.748270631,1.002182891,-0.119003111,0.521706943,-0.61149652,-0.642274991,2.147339557,-0.533297716,-0.605236518,"HC"
"47","HD-8",0.581382855,0.715748906,-0.399142022,0.353615097,-0.170365622,0.266027878,0.183059591,-0.263624304,2.112543532,-0.313381453,-0.338008438,-0.148752244,-0.642106427,2.432565211,0.005751752,0.79630235,"HC"
"48","HD-9",1.840420996,-1.230856229,-0.881790508,0.77470367,0.01867735,2.728650209,0.321328654,-0.824468842,-0.743290764,-1.094123137,-0.881527254,0.016292956,-0.697794423,1.285597192,-1.429906135,-1.179835341,"HC"
"49","HD-10",1.596246067,1.113869135,-0.743354771,2.309779055,0.30999147,-0.725116745,-0.860897029,-0.690663719,0.251918751,-0.945410414,-1.002599231,0.190498985,-0.598321582,2.326717956,-1.264667562,1.122328995,"HC"
"50","HD-11-1",0.670938653,-1.006258347,-0.962312133,-0.269074699,-0.689478187,-0.844100355,-1.0473525,-0.901030191,-0.780824266,-1.177010012,-0.987046854,-1.428038002,-0.379381443,-0.992687258,0.009210568,-0.874583149,"HC"
"51","HD-13-1",1.296219324,0.811665234,0.140023056,-1.193574664,-0.138688164,1.952797584,0.243778711,-0.502421212,-0.221893445,0.00644965,-0.982993212,1.109016889,-0.37525336,0.720922728,0.818247764,1.083908146,"HC"
"52","HD-14-1",0.056812601,1.14813587,0.180075746,1.178069697,-1.05847099,1.270210187,1.276452272,0.257580249,1.500339297,0.23756595,0.097132114,0.796320295,-0.756807536,1.265042793,-0.103357493,1.419251775,"HC"
"53","HD-15-1",-0.83288261,0.725134459,-0.904940772,-0.127374902,0.608402539,-0.820523559,-0.561873701,-0.84659969,-0.754733094,-1.118242868,-0.502966634,0.621431042,-0.713318065,-0.952976884,0.190210574,-0.781605487,"HC"
"54","HD-16-1",0.840714272,1.885623925,-0.976842697,0.90232463,-0.710781835,0.984994787,1.122366437,-0.528635418,-0.786934339,-1.191656522,-0.344746908,1.85674607,-0.759269852,0.900850338,0.497301454,1.829865745,"HC"
"55","HD-20-1",-0.454259442,1.186942026,-0.589376512,-0.837539302,-0.67235555,-0.335040734,-0.705480834,0.084489936,2.496791311,-0.771709001,-0.836214815,1.20138615,-0.412756301,0.144290914,-0.587337818,0.209166185,"HC"
"56","HD-22-1",-0.693316272,-0.316030632,-0.695369294,-0.954791661,-0.784017252,-0.618215097,-0.81434569,-0.643893319,-0.562473193,-0.892182861,-0.426448745,-0.196877086,-0.551705428,0.629611115,0.759439414,-0.98590146,"HC"
"57","HD-34-1",-0.755012082,-1.094703039,-0.752536416,-0.005281124,0.129537368,0.421089984,0.502087205,-0.699596925,-0.669329085,-0.955499745,-1.01237118,-0.16396344,-0.605242395,-0.831485649,-0.280545268,-0.51354698,"HC"
"58","HD-39-1",-0.845553052,1.390676733,-0.935680774,1.487776996,-1.023499543,-0.833563418,0.669369914,-0.875842571,-0.17686087,-1.14991339,-0.782008037,1.322371562,-0.733391623,-0.974673819,-1.491198056,1.249795435,"HC"
"59","HD-40-1",-0.826092088,0.630367944,-0.889354279,0.749890206,-0.979048519,0.022365633,0.634692049,-0.831709133,-0.747088178,0.992586481,-1.156777795,1.024883943,-0.702904018,0.732989048,0.048030413,1.003688334,"HC"
"60","HD-45-1",1.555180715,1.877482816,1.055483067,1.513281818,0.281516713,2.213362817,1.277975624,-0.47287773,-0.184140775,0.369561115,0.223872498,1.569174174,-0.735796238,1.09228266,-0.180200769,1.487804455,"HC"
"61","HD-46-1",2.266043389,1.174253824,0.686831807,1.970747119,-1.082507859,2.173318194,1.444888366,0.286751089,0.586881303,0.059565449,-0.287826665,1.355231928,-0.772588438,1.353850655,0.264517312,1.466049263,"HC"
