"","Breast_ge$X","ENSG00000077238","ENSG00000135213","ENSG00000183426","ENSG00000211801","ENSG00000102886","ENSG00000171291","ENSG00000141956","ENSG00000171817","ENSG00000204219","ENSG00000112983","ENSG00000197497","ENSG00000139537","ENSG00000007312","ENSG00000186481","ENSG00000251606","ENSG00000143753","ENSG00000171174","ENSG00000157992","ENSG00000211810","ENSG00000171135","ENSG00000112159","ENSG00000166971","ENSG00000103599","ENSG00000270505","ENSG00000139291","ENSG00000132879","ENSG00000129968","ENSG00000110274","ENSG00000160223","ENSG00000211710","ENSG00000249859","ENSG00000231113","ENSG00000211746","ENSG00000225113","ENSG00000211898","ENSG00000198821","ENSG00000109063","ENSG00000225405","ENSG00000146904","ENSG00000129277","ENSG00000211734","ENSG00000009790","ENSG00000253701","ENSG00000073712","ENSG00000105426","ENSG00000226660","ENSG00000245164","ENSG00000162729","ENSG00000109133","ENSG00000198625","ENSG00000211752","ENSG00000196126","ENSG00000152495","ENSG00000183878","ENSG00000131914","ENSG00000094963","ENSG00000143119","ENSG00000100813","ENSG00000117560","ENSG00000184730","ENSG00000185485","ENSG00000116824","ENSG00000214900","ENSG00000075914","ENSG00000112077","ENSG00000243536","ENSG00000122435","ENSG00000131797","ENSG00000164180","ENSG00000157554","ENSG00000196329","ENSG00000176248","ENSG00000196199","ENSG00000141040","ENSG00000213553","ENSG00000162894","ENSG00000146285","ENSG00000129824","ENSG00000116251","ENSG00000082293","ENSG00000204252","ENSG00000246223","ENSG00000100941","ENSG00000170486","ENSG00000204852","ENSG00000154620","ENSG00000211772","ENSG00000239855","ENSG00000211689","ENSG00000172116","ENSG00000104067","ENSG00000069667","ENSG00000135749","ENSG00000211747","ENSG00000169964","ENSG00000160654","ENSG00000128016","ENSG00000181894","ENSG00000186854","ENSG00000167664","ENSG00000128218","ENSG00000154814","ENSG00000263264","ENSG00000147168","ENSG00000251562","ENSG00000241859","ENSG00000134539","ENSG00000120725","ENSG00000089012","ENSG00000241106","ENSG00000267364","ENSG00000132424","ENSG00000186265","ENSG00000117318","ENSG00000132915","ENSG00000111863","ENSG00000134545","ENSG00000122986","ENSG00000163492","ENSG00000198692","ENSG00000130921","ENSG00000104689","ENSG00000099260","ENSG00000167286","ENSG00000219481","ENSG00000175899","ENSG00000132485","ENSG00000145649","ENSG00000110651","ENSG00000151414","ENSG00000057252","ENSG00000177455","ENSG00000168421","ENSG00000229308","ENSG00000229164","class"
"82","MGH-BrCa-H38-TR467",-1.010690557,-0.957780058,-0.430738654,-0.677762365,-0.677718144,-0.579811545,-0.735865703,-0.581245582,-0.831911871,-1.342770268,0.09803551,-0.204425169,-1.455369983,-0.692286923,-0.635042292,-1.287035112,-0.60937245,-0.548657259,0.15929887,-0.891315074,-1.230440131,-1.138423954,-0.559772289,-0.798651005,-0.808160487,-0.202412417,2.245927094,-1.098110584,-0.432463166,-0.72924302,-0.873017313,-0.663964709,-0.75843092,-0.618098919,-1.668455477,-1.080826221,-0.585014431,-0.679333502,-0.64127759,-0.550138277,-0.867188401,-2.56166305,-0.770310585,2.449899518,2.055000111,-0.596557214,-1.074245054,-0.752645549,-0.907228026,-0.729005543,-0.782113554,-1.299524239,-1.075291535,-0.583660933,-0.612762048,-0.613452175,-1.885816284,-0.531380496,-0.67470931,-0.729835093,-1.088610197,-1.591927504,-0.569614438,-1.245416253,-0.028786735,-0.732304062,-1.155537186,-0.754029227,-1.14003473,2.77542889,-1.472462941,-0.835405985,-2.11482037,-0.714720036,-0.506205756,-1.404300814,-1.082276556,-0.634719733,-1.191180086,-0.779881149,-0.896708512,-0.868689518,0.10007446,-0.605211759,-0.858311057,-0.557795567,-1.697057025,-0.605025166,-1.133891972,-1.019866579,2.322458988,-0.840513888,-0.690286317,-0.860850916,-0.837853646,-1.169633147,-0.943122448,-0.740409444,-0.944618019,-0.922004535,-0.907628454,-0.771818569,-1.043225252,-2.064168505,-0.340932626,-0.636369384,-1.890739311,0.021344535,-1.023403177,-0.907602458,-0.91114351,-0.888265952,-1.045138069,-1.049254868,-0.5962239,-0.801388114,-1.001463806,-1.497890403,-0.845403985,-0.666339369,-0.935557949,-0.702579926,-0.529777994,-1.659072024,-1.019102877,-0.704328364,-2.029601709,-1.824155454,-1.12610497,1.548350474,-1.101299755,-1.076415959,-1.351657565,-0.520150951,-1.218666682,"Breast"
"83","MGH-BrCa-H-59",-0.55166298,-0.384500583,0.355975871,0.036923112,-0.122736235,0.194089457,-0.123150575,-0.026937144,-0.426508565,-0.860040419,-0.060650967,-0.298618013,-0.953322737,-0.223091854,0.207390982,-0.772377168,0.122097233,0.294096741,-0.013459175,-0.244608312,-0.774322648,-0.678677051,0.211914887,-0.167454097,-0.192258071,-0.312686546,2.363617874,-0.639296543,0.397040542,-0.012462257,-0.406806633,0.251762882,-0.137054474,-0.002112366,-1.102495401,-0.63594596,0.029020888,0.202721726,0.014391218,-0.948538004,-0.4003077,-1.358389358,-0.115585542,0.327245087,2.011954522,0.197866655,-0.291752737,-0.239817056,-0.425357611,-0.677007439,0.015119368,-1.145076199,-0.629443453,-0.249478535,-0.167123371,0.151317911,-1.049918671,-0.514819268,0.037686378,-0.08600194,-0.599082563,-1.052788369,0.245004147,-0.752595482,-0.118051638,-0.200013869,-0.698099341,-0.265263853,-0.675433269,0.403905393,-0.348373907,-0.161957331,-0.751457632,-0.184003054,0.299754181,-0.886949529,-0.626996014,-0.35555077,-0.804210816,-0.347081209,-0.348941795,-0.383400427,-1.027605859,-0.050669472,-0.34582113,-0.673880431,-1.917418687,0.309513782,-0.652650955,-0.575646922,0.093257777,-0.17252419,-0.165579701,-0.283716362,-0.19770939,-0.738273675,-0.402147155,0.019562604,-0.528822291,-0.352815877,-0.2796569,-0.989401974,-0.579569552,-1.586056761,-1.202279111,0.04035072,-1.288077745,-0.59013209,-0.590208063,-0.332332169,-0.379541686,-1.313037706,-0.581129951,-0.549081037,0.156096204,-0.291068799,-0.581863271,-0.969399002,-0.477864433,-0.36687609,-0.868641145,-0.094818499,3.160535392,-1.148946609,-0.480647172,-0.278303103,-1.271038624,-1.246558268,-0.081653061,2.026129432,-0.650113515,-0.640680049,-0.240517418,0.014075092,-1.497467038,"Breast"
"84","MGH-BrCa-H63-TR-491",-1.162950639,-0.565338421,-0.655404346,-0.758355792,-0.786242125,-0.70597458,-0.842012097,-0.155591744,-0.978622995,-0.41656783,-0.219789407,-0.935843921,-1.644159109,-0.819323181,-0.729824517,0.499805024,1.071584726,-0.668381979,-0.173715772,-0.417863523,-1.403945032,-0.560753565,1.91552516,-0.903344078,-0.913539862,-0.991681165,1.718593465,-0.442774743,0.289689222,-0.818483797,-1.01527711,-0.777165038,-0.294344721,-0.71785639,-0.494342014,-0.104536379,-0.685954618,0.652484339,-0.732038629,-1.355465542,-0.966853889,-0.709161355,-0.882703802,-0.673815521,0.861634446,-0.723984084,-1.708903046,-0.869483896,-0.098323541,-1.238336804,-0.866408651,-1.197927936,-1.246407705,-0.712429487,-0.735668251,-0.699911838,-1.108679785,-1.694194374,-0.769197754,-0.826649323,-0.824595328,-0.349600911,-0.663480645,-1.423184244,-0.736504131,-0.843871086,-1.008142946,-0.877351088,0.197432997,1.650165747,-0.656874839,-0.938775099,-1.387547091,-0.823095288,-0.687475211,-0.101459359,-0.422817748,-0.752323388,-1.615980862,-0.927809845,-0.522388277,-0.263347995,-0.488258905,-0.717572723,-0.984798613,-0.419594777,-0.715167945,-0.726679369,-0.89744707,-1.17971849,-0.729013276,-0.680778362,-0.807807898,-0.976090228,0.622765986,-0.280364505,-0.590475185,-0.144224177,-1.100286908,-1.041752003,-1.021860642,-0.933047176,-1.198829865,-0.926307705,-0.52381504,-0.72480956,-0.985591767,-1.218249597,-0.269873752,-1.026457121,-0.220790981,-0.696861029,-0.319767609,-0.76335621,-0.714835539,-0.925255429,-1.162992999,-0.49897133,-0.991198707,-0.416740532,0.027541697,-0.798737924,2.138078713,-0.199177586,-0.339513895,1.090553815,-0.989812387,-0.603790111,-0.307170368,1.970689898,-1.274193432,-1.241272694,-0.790746061,-0.616770338,-1.013658232,"Breast"
"85","MGH-BrCa-H-66",1.275050275,0.256215719,-0.370047367,-0.651244174,-0.653981754,-0.52010876,-0.712113851,-0.542754199,0.760583634,-1.305251045,-0.721230499,1.300011209,0.056762119,-0.66569257,-0.570052569,-1.248527772,-0.582934764,-0.483642793,-0.7123511,-0.866451641,-0.177070758,-1.102693401,-0.533891028,-0.77480532,-0.784169095,-0.140775412,1.838697164,0.687188239,-0.368470897,-0.708496804,-0.84287539,0.601698293,-0.735446333,-0.594925058,0.484158169,0.298918702,-0.559381879,-0.611287133,-0.613356589,0.469370971,-0.843780876,-0.266674652,0.101689307,-0.527918173,0.773008633,-0.535271188,-0.715473994,-0.727159833,-0.877320512,-1.279984464,-0.762080079,-1.104798408,0.117364302,-0.558352373,-0.587495496,-0.588442119,-0.377094437,0.501872001,-0.651248704,0.662281799,-0.505285621,-0.328027252,-0.506770485,-0.44193271,0.841141014,0.386218505,0.009837898,-0.727541176,-0.09768314,-0.467326857,-0.243202131,-0.811582844,-0.068678511,0.712115874,-0.444029777,0.325750044,0.137022255,-0.611421009,-0.373949103,0.270213172,-0.184883896,-0.839693199,-0.028405101,-0.581361893,-0.830606442,-1.087161084,0.280612843,-0.534472833,-0.240874091,-0.523509659,-0.607546765,-1.184852953,0.409759441,-0.834902786,-0.814303264,0.142463246,-0.913287568,-0.719122396,-0.912440113,-0.175350535,-0.076639136,-0.710560184,-0.50095906,-0.460389178,-0.536485182,-0.61352376,0.109943009,-1.029570029,-0.06315022,-0.880790521,-0.883065401,-0.775299028,0.277299543,0.209007056,-0.538185979,-0.774450977,-0.968211835,0.307662388,-0.815770535,-0.641348915,0.217488105,-0.680784588,-0.504962255,0.46309251,-0.987915408,1.719945846,-0.175926097,-0.576548671,-0.417771886,1.66769707,-1.065687349,0.871165115,-0.901908914,-0.496394559,-0.317532132,"Breast"
"86","MGH-BrCa-H-68",-1.016125175,-0.2847693,-0.440978147,-0.680865526,-0.681675182,-0.589884263,-0.739807682,-0.585029236,-0.836989861,-0.437888567,-0.746248724,-0.819206052,0.021827673,-0.69675627,-0.645222053,-1.293472138,-0.613837333,-0.559626134,-0.736112114,-0.895416461,-0.934933272,-0.117408651,-0.564148422,-0.040262029,-0.069614287,-0.877055497,2.236471213,-1.104030224,-0.443259582,-0.732659868,-0.878069835,-0.675883373,-0.762233347,-0.621755226,0.075251492,0.102431709,-0.588673316,-0.690813903,-0.644682568,-0.562267673,-0.871036341,-0.755126699,-0.774478562,2.16100987,1.890162856,-0.606897048,-0.571801409,-0.756895592,-0.025112075,-0.645946192,-0.785397727,0.146447746,-0.238332993,-0.587961591,-0.617022959,-0.617667648,-1.228358934,0.151027222,0.204321006,-0.733487702,-1.094309165,-0.912229016,-0.580126771,0.366119279,-0.606515385,-0.736388385,-1.161507353,-0.758459155,-1.145997878,-0.544268878,-0.461730761,-0.839336166,-0.964298217,-0.71869451,-0.516695738,0.186845247,-1.088093427,-0.638670655,-0.867665878,-0.784979221,-0.901295515,-0.321698655,0.068141943,-0.60921133,-0.862926802,-0.395792382,-0.33239301,-0.61692836,0.421200809,-1.025491926,-0.638846947,0.318898476,-0.694507452,-0.865151245,-0.841738019,-1.175344478,0.3824959,-0.743915857,-0.950034604,0.528945802,-0.157009838,-1.536018832,0.788211377,-0.572788874,-0.736651301,-0.639695153,-0.451418625,-1.068466616,-1.029056983,-0.912044099,-0.915810566,-0.945130262,-0.561867161,0.506895556,-0.606015732,-0.805882464,-1.007064654,-0.056843484,-0.850407037,-0.670577057,-0.622083548,-0.706187972,-0.533974159,-0.674293765,-1.024292415,1.728802408,-0.628941007,-0.732462623,-0.132822244,1.401472063,-1.107297098,-1.082155797,-0.963704499,-0.523604019,-0.639164272,"Breast"
"87","MGH-BrCa-H-74",-0.902904496,-0.861385358,-0.23159685,-0.520012677,-0.586428261,-0.38391324,-0.652843509,-0.444389388,-0.733127001,-1.219325577,-0.627919632,-0.725804708,-1.327415065,-0.604689921,-0.421796348,-1.158812334,-0.474247126,-0.335330129,-0.596025965,-0.806474317,-0.780425036,-0.571838416,1.780974193,0.198149354,-0.726709088,-0.782746354,1.992823496,-0.475441443,-0.222490095,-0.590353761,-0.773206249,-0.432165704,-0.676456269,-0.486213447,-1.169244144,0.818937211,-0.460002616,-0.456058014,-0.49364691,-0.554373883,-0.786825744,-0.659061258,0.262729523,1.708113837,1.511587514,-0.395463936,-1.360519578,-0.667479268,0.488552956,-1.481938226,-0.626187583,-0.476880187,-0.959479856,-0.501932655,-0.530082852,-0.464172482,-1.040465779,-1.365365691,0.459547819,-0.626245525,-0.373339145,0.126205344,-0.363409252,-0.622479764,-0.489192759,0.095257318,-1.038443365,-0.665982682,-1.022267188,-0.301185404,-0.611185106,-0.754141305,-0.478278611,-0.634661246,-0.302192343,-1.272478991,-0.967625307,-0.559121631,-1.940910633,-0.681097215,-0.803718518,-0.772145005,-2.250860772,-0.512509613,-0.765543437,-1.005757739,-0.75202704,-0.373527043,-0.451604886,-0.909229355,-0.509126453,-0.394884806,-0.606489256,-0.773101158,-0.757481247,-0.272322814,-0.843104222,-0.578461377,-0.83883204,-0.830513106,-0.81895357,-1.392215125,0.442273966,-0.741536742,-0.790021448,-0.499139654,0.183014442,-0.952010869,0.078456849,-0.81685149,-0.816704639,-1.490473842,-0.935463945,-0.938427195,-0.405788389,-0.711445726,-0.47241364,-0.758372517,-0.748496462,-0.585259437,-1.280086064,-0.606508361,0.722398208,-0.410994833,-0.914404309,1.065072589,-0.640782374,-0.953916184,-0.07839216,2.25223314,-0.984277454,-0.964122116,-1.220970198,-0.401871735,-0.559143566,"Breast"
"88","MGH-BrCa-H-75",-0.968123007,-0.920266171,-0.35130497,-0.633479034,-0.646561822,-0.501671628,-0.704652556,0.172363754,-0.792476944,-1.293640702,0.191979031,-0.779907751,-1.103059186,-0.657451531,-0.549982749,0.152031842,-0.574783981,-0.463565332,-0.705880552,-0.009540911,0.11769546,0.230036905,-0.525922622,-0.76728455,-0.776602809,-0.121432694,1.928347369,-1.051903742,-0.348709106,-0.701924451,-0.285612407,-0.57150472,-0.728200419,-0.58484095,-0.106435816,-0.314955496,-0.551255799,-0.590273374,-0.597151186,-0.112512845,-0.83635069,-0.817920253,-0.73732398,0.694119356,2.06323391,-0.516345126,-0.467078652,-0.719195272,0.072080811,-0.760287737,-0.755700658,-0.686482992,-1.029142053,-0.550603149,-0.579695789,-0.580714137,-0.508955973,-0.258875158,-0.642645244,0.148512801,-0.487683824,-0.687819356,-0.487363312,-1.196205455,0.661285305,-0.700099651,0.029874057,-0.719289232,0.599642707,0.791140929,-0.52632656,0.083491487,-0.505211569,0.98260429,-0.424828884,-0.261069517,-0.251785993,-0.604269205,-1.104117156,-0.246656909,-0.860426246,-0.242101944,-1.491386613,-0.573954141,0.758883737,-1.076124242,-0.623726086,-0.512685193,-1.087877033,-0.203113922,0.376351627,0.18999602,-0.657196579,-0.82673809,0.581334978,-1.125276159,-0.903947663,-0.700298766,-0.902483998,-0.886471802,-0.873314202,-0.310019607,-0.484397271,-0.896516684,-0.096732269,-0.605577693,-0.285066005,-1.019184811,-0.541796959,-0.872350012,-0.205425515,-0.753444062,-1.001869191,-0.422101991,-0.520262982,-0.766037226,-0.957929799,-0.426946478,-0.061831798,-0.633677863,-1.363227653,-0.673918669,0.564338447,-0.655004542,-0.313738125,1.312719223,-0.908090225,-0.821420695,-1.079874066,1.95921559,-1.054672922,-0.643964954,-0.229012143,-0.486613948,-0.933303825,"Breast"
"89","MGH-BrCa-H76-TR469",-1.107696027,-1.040212293,-0.618050496,-0.730660035,-0.747482298,-0.682214089,-0.804586994,-0.647514548,0.813003317,0.181627667,-0.107665627,-0.369912711,-0.746899834,-0.772788303,-0.702247501,-0.203150476,-0.671925829,-0.642866982,-0.790059046,-0.961769992,-1.339526521,-1.246831723,-0.628292385,-0.866793819,-0.876738605,-0.949686905,2.168912875,-1.204598634,-0.629962847,-0.787692879,-0.963479889,0.233429269,-0.824199435,-0.682367633,-0.690415411,-0.814254629,-0.649770859,0.187624374,-0.700273185,-0.9787513,-0.932682982,-1.029147073,-0.843037572,-0.648319653,0.276855943,-0.699168394,-0.773584601,-0.827671488,0.374650171,-1.286387642,-0.83767961,-0.340642602,-1.183029702,-0.663524088,-0.690194693,1.361845133,-0.818740965,-0.721947086,-0.736136406,-0.792893446,-0.417217185,-0.750376271,-0.637526188,-0.487021649,-0.686156144,-0.804128303,-1.263401711,-0.83282391,-1.246988213,-0.608786889,-0.812152902,-0.218983051,-0.49164862,-0.784538574,0.321107706,-0.978382281,-1.186779859,-0.707789011,-1.071001528,-0.872813708,-0.976897588,-0.95475741,-1.041916805,-0.676776265,-0.939624369,-0.422757249,-0.274572865,-0.700453284,-0.27866667,0.629430687,-0.696104311,0.045613773,-0.765386758,-0.935584725,-0.904558315,-0.593983565,-1.030519637,-0.800409961,-1.042764943,-0.999709397,-0.982026475,-1.655144056,-1.142369541,-0.768525783,-0.57673526,-0.693908611,-0.936356507,-0.720002421,-1.125348093,-0.402251525,-0.99287655,-1.354057157,0.127003727,-0.342604192,0.140181971,-0.880843415,0.543686196,-0.9488982,-0.936799363,-0.744689036,-0.592760027,-0.765080717,-0.597712673,-1.254497269,-1.110259859,1.038877352,-0.453575926,-0.00313358,-0.313454355,1.452800035,-1.210149586,-0.443442069,-0.395142622,-0.581792688,-1.010766716,"Breast"
"90","MGH-BrCa-H81-TR492",0.069512492,-0.267456014,0.174410047,-0.771053387,-0.312788714,-0.716777168,-0.324972056,-0.702534128,-0.27012185,-0.317512072,-0.850517648,-0.196695202,-0.818857309,-0.418440498,-0.742481406,-0.415629499,-0.719107801,-0.680092427,-0.833938948,-0.077034854,-1.181466522,0.175723337,1.690485136,-0.920329494,-0.031820397,-0.529569344,1.804450348,-0.499222805,-0.692147459,-0.832647978,-0.365029093,0.016641481,-0.875959581,-0.734612355,-1.289330209,0.504357771,-0.703151995,-0.81854129,-0.746825214,0.816962159,-0.982481284,-0.271236453,-0.901307473,1.419739975,0.503930621,-0.735281454,-0.28150654,-0.130508249,0.595540696,-0.844275357,-0.218459218,-0.039836161,-0.212946267,-0.737072435,-0.757961237,2.3303774,0.034296638,-0.205362347,-0.78458306,0.098083994,0.079886207,-1.382976435,-0.675421646,-1.102370289,0.379316748,-0.862672472,-0.668223167,-0.174064572,-0.385468418,1.806675507,-1.391810926,-0.385745233,-0.551694217,-0.376419224,-0.69669866,0.043447716,-0.669294627,-0.77473699,-0.841102438,-0.954933617,-0.569552194,-1.026547359,-0.746021768,0.116326585,-1.006230441,-1.047981348,-0.984043773,-0.738667452,-0.296139179,-1.208245246,1.353069437,0.17898374,-0.828116528,-0.995029704,-0.41573437,-0.835414108,1.302402798,-0.846580133,-0.575572476,0.61292515,-1.040357859,-0.329309794,0.14446885,-0.403395671,-0.236999946,-0.739172414,0.017606666,0.69694431,-0.878262563,-1.045958218,-0.280834251,-0.254089313,-1.226268914,0.174730733,-0.727226396,-0.946397858,-0.087037075,0.068433193,-1.018152286,-0.816381854,-0.617569404,-0.814410923,0.894489463,-0.591023953,-0.151656718,1.653659577,-0.298116704,-0.590782525,-0.61776322,1.86985109,0.674230797,-0.59417158,-0.475516094,-0.633545164,-1.107024534,"Breast"
"91","MGH-BrCa-H83-TR550",-1.117298822,-0.090828631,-0.637232477,-0.73560248,-0.754275214,-0.686473735,0.225217947,-0.654017378,-0.93356921,-1.469023564,-0.809201952,-0.900227514,-1.132711303,-0.780840114,-0.70716561,-0.418173298,0.081571834,-0.647417263,-0.79542197,-0.968417276,-1.076443926,-0.090144014,0.181652822,-0.873268821,-0.883256999,0.267615558,2.186585456,-1.215247459,-0.65018813,-0.79317762,-0.972467252,-0.753656954,-0.830455478,-0.688600103,0.00993317,0.092916136,-0.656102501,-0.784931205,-0.039446386,-0.478036736,-0.938788473,-1.119007726,-0.850029383,-0.652867415,2.137648269,-0.703613931,-0.999256427,-0.834991106,-1.004819514,-0.931061009,-0.842825182,-0.875859429,-1.193926072,-0.671824609,-0.698023389,0.631315845,-1.119650381,-1.345810523,-0.012935604,-0.798877369,-0.437275346,-0.769989494,-0.642148708,-0.979971817,-0.694774873,-0.81110159,-0.26960294,-0.84058422,-1.257644677,-0.613983237,-0.344892881,-0.909296454,-0.80843488,-0.791308031,-0.670699044,-0.823633014,-0.800485211,-0.715355232,-1.030513385,-0.88225425,-0.984629198,-0.48796761,-0.68359929,-0.683869556,0.158920261,-0.939474474,-1.300791172,-0.705140894,-0.819314722,-1.13124638,-0.701918252,-1.34842003,-0.772782403,-0.942736995,-0.274682554,-0.719910928,-1.039013573,-0.806042032,-1.052667878,-1.007136638,-0.989086509,-0.206809981,0.097565086,-1.001923035,-1.091523625,-0.699381691,-0.63020551,0.462465209,-1.135568073,-0.992093117,-0.474773082,-0.97146177,-1.153230767,-0.363082772,-0.692639869,-0.8886104,-0.776069694,-0.542050782,-0.067609349,-0.752797462,-1.553605816,-0.771036388,1.429120673,-0.702074214,0.038515356,0.899074358,-1.137555834,-0.497061872,-1.244052716,1.883256626,0.202513749,-0.10810834,-0.544292829,-0.587883711,-1.282066718,"Breast"
"92","MGH-BrCa-H84-TR551",-1.201586274,0.186465556,-0.668511472,-0.776644613,-0.812838028,-0.721515319,-0.867355032,-0.710514748,-0.292554794,-1.573574641,0.107869632,-0.965466694,-0.702813612,-0.43711055,-0.748057282,-0.447331057,-0.725781899,-0.685251232,-0.840022294,-1.02411555,-0.157814001,-0.189484158,1.645363438,-0.927857432,-0.938230889,-1.020151899,1.922858089,-0.524931149,-0.696188381,-0.838894939,-1.051623271,-0.796037533,-0.883244241,-0.742094808,-0.901630965,0.340380774,-0.710856001,-0.823787633,-0.753383226,0.031485114,-0.989353648,-0.629895593,0.337972537,-0.690665027,1.443286311,-0.740239669,-1.762191366,-0.898251297,0.370120634,-1.310749398,-0.885237404,-0.984007123,-0.153123108,-0.748451029,-0.363389565,1.009294299,-0.718335476,-0.672545357,-0.791405527,-0.849255003,-1.287127577,-0.946886048,-0.680687999,-0.536721636,1.224145008,-0.871077845,-0.118141418,-0.908284195,-1.351873477,0.151253011,-1.012118768,-0.962662918,-0.613137153,-0.849453674,0.068816772,-0.357845606,-0.113223805,-0.785084165,-1.354507338,-0.156529428,-1.050728578,-1.037003045,-0.755983555,-0.746041028,0.302211448,-0.870339774,-0.445783672,-0.743938656,-0.698349434,-0.872861032,-0.751204643,0.19078558,-0.837248813,-1.003449062,-0.963530953,-0.22594176,-0.659291156,-0.852997155,-1.141361322,-0.258106989,-1.048553197,-1.503182429,-0.408267106,-1.019197689,-1.063108166,-0.745537914,-0.786605837,-1.257391434,-1.226416123,-0.575398365,-1.068452867,-0.794153627,-0.86595878,-0.543804826,-0.732683386,-0.955879838,-1.205870891,-0.806992673,-1.030492132,-0.827449149,-1.022863493,-0.821363756,1.352405607,-0.484501874,-0.428934877,0.902586354,-0.601816869,-1.519920552,-0.291149256,2.118980644,-1.009426112,-1.284818692,-0.065993068,-0.64109342,-0.80346135,"Breast"
"93","MGH-BrCa-H89-TR471",-1.089068078,-1.024733888,-0.581218904,-0.720919062,-0.734241726,-0.67379466,-0.791674794,-0.634868395,-0.906200692,-1.435049449,-0.792220237,-0.877893382,-0.814919623,-0.757211411,-0.692558668,-0.592221995,-0.6608042,-0.633903013,-0.779494019,-0.948703521,0.249227273,-1.225794666,-0.617331687,-0.854089732,-0.863950572,-0.935207085,2.171856368,-1.184001831,-0.591127995,-0.776895404,-0.477898249,-0.738471902,-0.811928305,-0.670205139,-0.95257453,-0.52858301,-0.637442071,-0.770840146,0.015561246,-0.553039285,-0.920641482,-1.169309985,-0.829362,-0.639359576,2.521703612,-0.690385666,-0.011251545,-0.813413024,-0.979080746,-1.716314635,-0.827514816,-1.236008743,-1.162022182,-0.647641597,-0.675094408,2.181678149,-1.644152373,-1.090672128,-0.72466178,-0.781148371,-1.170549335,-0.225040886,-0.628427465,-1.33650398,0.996763634,-0.790526076,-1.242451789,-0.817746634,-0.32767772,-0.59545448,-1.216065171,0.30413151,-0.848811011,-0.771329001,-0.659705906,0.395849571,-1.166590953,-0.693299907,-1.097850989,-0.854632152,-0.961788648,-0.938306726,-0.607930664,-0.663016582,-0.924197315,-0.898235736,-1.873476234,-0.691205621,-1.217951258,-1.10152404,2.997911757,0.548428315,-0.751016311,-0.921579361,-0.89219148,-1.253281765,0.193628513,-0.789323282,-1.023658789,0.778222648,-0.968170159,-1.630628231,-1.123333445,-0.979349405,-1.178842614,-0.683172414,-0.12702456,-1.143070703,-1.105592773,-0.970279588,-0.977451524,-1.255548154,-0.681235659,-1.129095526,-0.678322934,-0.865722085,-1.083316559,-1.597964179,-0.9188763,-0.729158501,-1.51750492,-0.753404057,-0.587356193,-1.754337232,-0.540347379,-0.770399366,-0.700518767,-0.05097185,-0.853658359,2.178676055,-1.188924165,0.186065709,-1.448186722,-0.569966724,-1.167366633,"Breast"
"94","MGH-BrCa-H92-TR472",0.366092149,0.452089781,-0.633229692,-0.734578527,-0.752863653,-0.685591925,0.796472739,0.581954266,-0.931620373,0.073520165,-0.808015345,-0.898654267,-0.527590942,-0.779163502,-0.706146584,-0.222678285,1.657356942,-0.646474445,-0.794310771,-0.322071282,-1.073596541,-0.317886092,2.235740701,-0.87192572,0.479595198,-0.015933568,2.353395201,-0.343218984,-0.645967635,-0.792040967,-0.970596708,-0.752598366,-0.8291577,-0.687305426,-0.083562262,-0.826024765,-0.654786437,-0.783951732,-0.704728587,-0.78540411,-0.937523812,-1.290441747,-0.848577863,2.736384052,2.745064278,-0.702693524,-0.79054928,-0.833469833,-1.003000488,-1.151266501,-0.047171439,-0.749105537,0.422832557,-0.670090953,-0.696391911,2.092138169,-0.690851131,-0.737172318,-0.740774262,-0.797636263,-1.197846421,-1.728408597,-0.641190708,-1.36717377,-0.692977115,-0.809652835,0.006484925,-0.838970195,-1.255426145,1.026568065,-1.016104955,-0.907975751,-0.855922804,-0.789901767,-0.669936654,-0.562482265,-0.323434138,-0.713775257,-1.986343995,-0.880286011,-0.983023684,-0.961461521,-0.487986394,-0.68239365,-0.945894618,-0.43656413,-1.318859347,-0.704169993,-1.245844583,-1.129136678,0.054680337,-0.767440875,-0.771244283,-0.941252613,-0.90954469,-0.853101081,-1.037248694,-0.804874824,-1.050604228,-1.005595316,-0.987622176,-0.972176676,-0.043971238,-0.947086378,-0.961996559,-0.698246365,-1.386556887,0.467920971,-1.133439485,-0.990563095,0.158713202,-0.600798673,-1.151208623,-0.680260379,0.122519119,-0.036626866,-0.773164325,-0.622713618,-0.944173346,-0.751104364,-1.127856595,-0.76980077,-0.601905798,-0.988922064,-0.588615723,1.852137128,-1.082164223,-0.866330165,-0.655088206,1.75979088,0.206961828,0.526620078,-1.480894017,-0.58661666,-1.823763285,"Breast"
