"","X1","X1.1"
"1",44,0.0302202997822907
"2",21,0.0299876422182859
"3",38,0.0366642928474104
"4",22,0.0374205623673365
"5",4,0.0391312627004641
"6",58,0.0413604989031417
"7",3,0.0434366696312215
"8",62,0.0421112927419164
"9",53,0.0408802561661717
"10",32,0.0407733460017126
"11",17,0.0441121724056125
"12",50,0.0448592673604202
"13",34,0.0433087113354494
"14",75,0.0440666862400413
"15",55,0.0446030268949111
"16",51,0.0448085425370907
"17",76,0.0443900539353619
"18",41,0.0501574489968915
"19",13,0.0444834170377807
"20",72,0.0479712898776335
"21",61,0.0566027878969925
"22",35,0.0572196097983092
"23",29,0.0637059413398607
"24",25,0.0642574694411077
"25",56,0.0673552595573286
"26",33,0.0670356394587128
"27",19,0.0783512262759883
"28",52,0.0669446797944085
"29",15,0.0739207040695979
"30",39,0.0629018164202895
"31",7,0.0630484727589407
"32",20,0.230369413303021
