"","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Precision","Recall","F1","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy"
"rlogBlind",0.8379329004329,0.941919191919192,0.927368927368927,0.817189754689755,0.927368927368927,0.8379329004329,0.873018811254105,0.527753329812826,0.442785242556409,0.475309185263419,0.889926046176046
"rlog",0.928030303030303,0.894300144300144,0.907018907018907,0.941666666666667,0.907018907018907,0.928030303030303,0.915285204991087,0.527753329812826,0.495716716540515,0.546271848331345,0.911165223665224
"vstBlind",0.964015151515151,0.926767676767677,0.914351851851852,0.96969696969697,0.914351851851852,0.964015151515151,0.936594202898551,0.527753329812826,0.511735023176671,0.553518225142939,0.945391414141414
"vst",0.940205627705628,0.897727272727273,0.885582010582011,0.945833333333333,0.885582010582011,0.940205627705628,0.909318394024276,0.527753329812826,0.500462881469746,0.55826439007217,0.91896645021645
