"","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue"
"rlogBlind",0.880007758154211,0.635355349299495,0.648011996383806,0.975619661284646,0.624668322608826,0.134253376001007,NA
"rlog",0.880007758154211,0.635355349299495,0.648011996383806,0.975619661284646,0.624668322608826,0.134253376001007,NA
"vstBlind",0.79601432976719,0.590004301567871,0.54601725303767,0.943981803929097,0.624668322608826,0.186507975447949,0.330518408871163
"vst",0.79601432976719,0.590004301567871,0.54601725303767,0.943981803929097,0.624668322608826,0.186507975447949,0.330518408871163
