"","GBM_ge$X","ENSG00000124107","ENSG00000103037","ENSG00000155275","ENSG00000155659","ENSG00000134121","ENSG00000128596","ENSG00000254977","ENSG00000075131","ENSG00000211786","ENSG00000086548","ENSG00000096696","ENSG00000073712","ENSG00000232021","ENSG00000112077","ENSG00000117643","ENSG00000175445","ENSG00000166428","ENSG00000117519","ENSG00000156042","ENSG00000117560","ENSG00000049768","ENSG00000198178","ENSG00000012223","ENSG00000204219","ENSG00000196081","ENSG00000137103","ENSG00000114739","ENSG00000181007","ENSG00000152583","ENSG00000239219","ENSG00000196634","ENSG00000184206","ENSG00000239961","ENSG00000160185","ENSG00000101425","ENSG00000231027","ENSG00000198722","ENSG00000154016","ENSG00000132386","ENSG00000118520","ENSG00000197353","ENSG00000147174","ENSG00000115590","ENSG00000186854","ENSG00000103175","ENSG00000159713","ENSG00000078018","ENSG00000117318","class"
"11","VU402-2-GBM",0.793520279,-0.728876576,-0.773006564,-0.172292542,-0.705626754,-0.67567442,-0.693851962,-0.861154509,-0.780987296,2.094714717,-0.711515126,1.183219104,-0.788952489,-0.744768364,-0.744496903,-0.689527502,-0.978475777,-0.70883233,-0.781602525,-0.904971941,-0.710809266,-0.81621275,1.861046049,-1.168620684,-0.711609825,-0.810726639,0.484778981,-0.769081558,1.178041833,2.045890786,2.605415332,-0.691619744,-0.82695783,-1.240375702,2.02561193,-1.139722155,1.863764659,-0.814429856,-0.991944419,3.031190011,-0.748060595,1.263154775,1.003293191,-1.354155825,0.849396987,-0.943047621,1.126531289,-1.188893899,"GBM"
"12","VU406-2-GBM",0.162902387,-0.742951593,-0.788203091,0.632251942,-0.716409682,-0.690540562,-0.705646804,-0.883978744,-0.795266223,0.871013867,-0.729917702,-0.749074351,-0.806341985,1.371947267,-0.751914316,-0.707441087,-1.008901513,-0.727330799,-0.799776789,-0.925337015,-0.72225985,0.408853525,0.997588389,-1.201348951,-0.724037976,-0.828783978,-0.754397696,-0.788783379,-0.733305254,0.49410287,-0.7387807,-0.706097679,-0.840839214,-1.272462093,1.354642123,-0.71433104,0.922415838,-0.828710863,-1.01807622,0.664332515,-0.763743172,0.231682747,0.724824016,-1.388647759,-0.327680237,-0.966525642,1.254697775,-1.219318027,"GBM"
"13","VU408-GBM",-0.283098898,-0.697193703,-0.73887967,-0.7363424,-0.680904508,-0.642570731,-0.666978383,0.759472103,0.142570913,-0.002578218,-0.671264752,0.212610813,0.569649664,4.486130517,0.262272601,-0.650286684,-0.91506408,-0.668429218,-0.741421961,-0.860117139,0.254765626,-0.771760159,0.472470352,0.43629848,-0.683392312,-0.025900223,-0.700247206,1.633074116,0.603873276,0.220334957,1.042278328,-0.659212692,-0.795451896,0.582491122,0.472614599,-0.183089506,-0.212243865,-0.782068495,-0.93593023,-0.770113109,-0.713080837,0.695239703,-1.089387776,0.278929472,-0.658506598,0.017783927,0.761913043,0.558328308,"GBM"
"14","VU417-GBM-vIII",-0.777227106,-0.713746806,-0.756696398,-0.768923332,-0.693898291,-0.659805588,-0.681074052,-0.837373014,-0.765608369,-0.521594694,-0.69209953,-0.708296897,-0.770439519,1.81335297,-0.736297416,-0.670608358,-0.947397709,-0.689333704,-0.762292964,-0.883389912,-0.698380369,-0.794756473,0.130995699,-1.135290983,-0.698176186,-0.79153398,-0.719636259,-0.74834773,-0.690192875,2.242622012,1.373351978,-0.676113318,-0.811957314,-1.207386365,1.614494059,0.507380841,0.465850332,-0.799012889,-0.964741525,-0.802243204,-0.731302953,1.760402387,-1.124501799,-1.318828689,-0.681925272,-0.918477599,1.302955553,-1.157437284,"GBM"
"15","VU418-GBM",-0.708979569,-0.662083707,-0.710556204,-0.688821669,-0.616750622,-0.599030785,-0.567623598,-0.773492288,-0.721813386,-0.445179163,-0.637700796,-0.644762685,-0.71884682,-0.650162989,-0.711717335,-0.612217924,-0.866594642,-0.634288183,-0.707090652,-0.823714333,-0.621827834,-0.73606824,-1.252333894,-1.048924662,-0.643723173,-0.738195541,-0.667308521,-0.691749092,-0.630409274,-0.697146158,-0.65376644,-0.589431753,1.100274343,-1.120737171,-0.77638567,-1.036447435,-0.86707395,-0.754915897,-0.89184985,-0.722770469,-0.684281262,-0.981561121,-1.037695612,-1.226492435,-0.62301853,-0.851980453,-1.305107567,0.596215078,"GBM"
"16","VU419-GBM",2.615634941,-0.62365089,-0.667285433,1.775576192,-0.538610316,-0.530244978,-0.498573009,-0.746858126,-0.696411437,3.787062387,-0.60652942,1.426897208,-0.695305205,-0.622574045,-0.700289066,-0.581368183,-0.833884827,-0.60353412,-0.674485453,-0.798157324,-0.552236018,-0.711203372,1.854114661,-1.014011302,-0.571061993,-0.715245707,-0.632163518,-0.667819582,2.322882132,-0.62335974,-0.624956375,-0.52474603,-0.749877644,-1.085336276,2.283812618,-1.004703676,0.879550324,-0.725747273,-0.283184104,2.609872007,-0.660010804,2.053740854,-0.35591828,-1.18888581,3.987653258,-0.182480524,1.278342802,-1.039457857,"GBM"
"17","VU421-GBM",-0.696520411,-0.649670998,-0.69881335,0.226690493,-0.581483791,-0.567985892,-0.536459202,0.17331537,-0.712178054,-0.428805234,-0.623621066,-0.630018533,-0.708931651,-0.637747053,-0.706689129,1.645250102,-0.851881997,-0.620397478,-0.692375014,-0.812315508,-0.590419167,1.383919981,-1.236015805,-1.03322063,-0.61092922,-0.727966787,0.316474218,-0.681054037,2.43076727,-0.663844354,-0.640775908,-0.560237339,-0.760497443,-1.104836298,-0.761776839,-1.022252455,-0.852256183,-0.741980333,0.895163289,-0.708581005,-0.67519281,0.53704574,-0.721688245,-0.798052865,-0.612164597,-0.83948941,0.762473649,-1.058475028,"GBM"
"18","VU422-GBM",-0.317283268,-0.708567886,-0.751119105,-0.349820586,-0.689851095,-0.654399378,-0.676676873,-0.829397215,-0.76033702,-0.515324482,-0.685536536,0.683269432,-0.764143397,-0.709767582,-0.733435979,-0.664209061,-0.937105852,0.574918261,-0.755735123,-0.876071777,-0.694097575,-0.109773934,-0.641804783,-1.124271305,-0.693560434,-0.785013584,-0.713546656,-0.741350104,1.484093111,-0.7330676,-0.70468375,-0.670818533,-0.073293563,-0.836208657,-0.847945077,-1.10252429,-0.938565105,-0.793720156,0.257915409,1.291753231,-0.725589602,-0.397312681,0.396260152,-1.307107972,-0.674494874,-0.910213854,-0.09984992,-0.685005458,"GBM"
"19","VU425-GBM",0.260549258,-0.722573058,-0.766208189,0.508609557,-0.700757577,-0.669049226,-0.688540693,0.61556904,0.010498876,-0.076546739,-0.703381251,0.086628826,-0.781217412,0.770690984,-0.741109518,0.103892927,-0.965336354,0.824778992,0.047723366,-0.895942636,-0.705646078,0.24166559,-0.067340149,-0.249903445,-0.706022229,-0.138043462,-0.730065144,-0.760389267,1.025573072,-0.743999308,1.29054711,-0.68515231,-0.8207181,-0.3413331,-0.877412694,-1.128037894,1.599703343,0.053924338,-0.516731093,0.359252889,-0.74106658,1.623397304,1.393777737,-0.986090929,1.549045571,-0.932730956,1.859310929,-0.735480042,"GBM"
"20","VU429-1-GBM-vIII",-0.660427749,-0.564571871,-0.613819389,1.0089725,-0.480467592,-0.47906276,-0.447193771,-0.726579392,-0.65929791,-0.381904729,-0.583410267,-0.587958634,-0.671928069,0.885736676,-0.691091079,-0.558499043,-0.809311957,-0.580722042,-0.650240528,-0.778453234,-0.500454065,-0.692136896,0.332412305,-0.987776979,-0.516996183,-0.696470136,-0.579992732,-0.646668004,-0.573610451,-0.568456661,2.005400945,-0.476614608,0.253099643,-0.632597129,0.751795809,-0.980420714,1.258523927,-0.682955562,-0.838517978,1.075834141,-0.612035345,1.459382201,1.066123259,-1.160532912,0.722206976,-0.802725979,0.654138456,-1.013308173,"GBM"
