"","ENSG00000005381","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000117519","ENSG00000117643","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000152583","ENSG00000155275","ENSG00000156042","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000198610","ENSG00000211786","ENSG00000211793","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000268632","ENSG00000269161","cancer_type"
"VU280-GBM",-0.691081358348065,-0.529342063953509,-0.47236337924547,-0.738771951873257,-0.579430752499331,-0.596959903186248,-0.51162765461702,-0.570489540858474,-0.595769061471026,0.623394701438104,-0.483311317036824,-0.722168735003853,-0.671434744649375,-0.506346723873738,-0.590954406138717,-0.516764184155323,-0.707965702907145,-0.58817120240313,-0.642061739399954,-0.664630681978704,-0.547515257511867,-0.564332642884108,-0.441525339668502,0.460961539423583,-0.51752198332889,0.578660860824548,-0.502638299904119,-0.548556085593899,-0.578643719324066,-0.61772311936562,2.94252098245695,-0.703338651442061,-0.577648291623026,-0.68841344574413,-0.750779758654558,-0.516715999757671,-0.422428667431347,1.17013648221621,-0.584556153473236,-0.428257320896396,-0.685638029591284,-0.723847603278459,-0.600834069729627,-0.745231177233897,-0.47460166670371,0.126984449132384,-0.537701549184896,-0.647153749660693,-0.564654348529137,"GBM"
"VU284-GBM-vIII",-0.800153364869418,-0.701133736745983,1.57651787952312,-0.834681833099977,2.28135977484383,-0.691570024747682,0.0504133527439319,-0.0266605135261025,-0.715753532932914,-0.69575116697875,-0.585771099555346,-0.808287355560619,-0.771592451812405,-0.660818693407929,-0.69020290498898,-0.700355234816967,-0.790669624290863,1.46352145940177,-0.757574246873645,-0.762400816967014,-0.652065584663236,-0.688944584475752,-0.547992653259876,2.34549491287981,-0.6130885534244,0.769226197279941,-0.676998764796058,-0.702305161880681,0.711295932176969,-0.712481914841658,-0.755992316439382,-0.793123127513291,-0.653991137737669,-0.767316466142205,-0.844523703123291,-0.671814153824806,-0.559616824277548,-0.815976067173029,-0.675789025076482,-0.655336460341977,-0.770373969960924,-0.796792414354825,0.767557549789591,-0.813530316898117,-0.68201800362091,-0.148700534885306,-0.615112295380832,-0.744198638126164,-0.706852535547949,"GBM"
"VU306-GBM-vIII",1.12319537992807,-0.711318487013786,1.86670534446321,-0.853208767313012,-0.694213051041821,-0.707072218242341,-0.618061728073094,-0.675992350613235,-0.728063900482204,-0.708501515794811,-0.598159972903965,-0.824409026656052,1.88329447495465,-0.673660307172782,-0.704316598283583,-0.710038114592039,-0.806029156875901,-0.706625085839583,-0.770786980828208,-0.777916814960599,-0.66762893925815,-0.701539832208029,-0.560101345008823,-0.686199267512871,-0.62724914081777,-0.448828102877487,-0.689564594095113,-0.71331173494128,2.95838029902303,3.0057377090134,-0.769987693620337,-0.810125046791747,3.03379816703896,-0.779817921138229,-0.862290240219458,-0.684828526393078,-0.571643185374199,-0.838876619629018,-0.694001160265087,-0.668573267520561,-0.785239371605908,-0.809981447129556,-0.751584641574118,-0.825719555428885,-0.69245698945081,-0.842800748669522,-0.628370918587647,-0.759775521654166,-0.720036399291022,"GBM"
"VU360-GBM-WT",-0.304227518893693,0.0810374066275183,-0.0250195742734419,-0.358080643238551,0.0761697227611809,-0.00837531701802822,-0.0182904931670849,-0.0828791754147364,0.0977594844947822,0.1578111874654,-0.117679533938206,-0.224900120779855,1.44265103768176,0.0955515709108122,0.0947305747064153,0.178750491257705,-0.151953001136488,-0.0334275236554515,-0.0138855389271765,0.00476378609469679,0.0973293084186198,0.155078462588787,-0.00650509774913348,0.0497053911453812,-0.15196199994931,-0.0211894645104989,0.0641872276291569,0.0924045802028439,0.0683193647566101,0.161815406507598,0.017459538804639,-0.189229441680051,-0.203081372175798,-0.0176032358854199,-0.270880671767319,0.0367815806895074,-0.0337915077555625,-0.40740950752334,-0.233740823823283,0.206183308630379,-0.0877098071180983,-0.128419219293983,0.0493634198440475,-0.154258989932268,0.129200622378987,-0.208726948352716,-0.163809297655945,-0.0565803613698682,0.0349667790493274,"GBM"
"VU372-GBM-vIII",1.38225580388244,-0.593208951331291,-0.51917107476659,-0.763474408626439,-0.607737223469486,-0.625717905417863,-0.540493412471777,1.79870935462055,-0.652996006502897,-0.604475806456694,-0.521569097709988,-0.744745102589783,0.763687492277701,-0.569326185763709,-0.619757863783084,-0.589539170184791,-0.729744562375221,2.42539663478618,-0.701280965050618,-0.694819567881399,-0.575705476489098,-0.619526616268347,-0.487043562572154,-0.601129384301223,-0.555772251258279,-0.335839564257926,-0.561947932476411,-0.615622827889586,-0.607515598163739,-0.644607394077943,-0.693372881352412,-0.726714791919416,1.08201716184899,-0.715234228643751,-0.775181234673132,-0.574631066266462,-0.463093609330856,-0.732450120267881,-0.6076072159868,-0.494641840997146,-0.71125576016728,-0.743362379612048,1.70736889270691,-0.763645733875317,-0.537780352511382,-0.768373119809997,-0.563284958237038,-0.681717137182566,-0.627395539657244,"GBM"
"VU378-GBM",2.74891560270133,-0.741887565564905,1.39524858928827,0.380943870861639,0.714831861595789,-0.75583739391022,2.41558870805717,0.112666453395674,-0.765616895766231,-0.747594667432661,-0.636901930083752,-0.874808242931155,1.20865957114533,-0.713294590159209,1.03015821854007,-0.739002671969356,-0.8537510684654,-0.762326604370935,-0.811193098997578,-0.826167216286067,-0.716795326499518,-0.740154958946726,1.58974693563094,-0.733794402303218,-0.672222464205461,-0.484144816641271,-0.728131395234547,-0.0821027388326115,-0.0749479956229469,1.24162731735684,-0.813051575591227,-0.863709763606674,-0.339355097711626,-0.817826961742659,-0.918351896465888,-0.724992905742854,-0.609169518397732,-0.916522074257668,-0.753936285365841,-0.705415609219979,-0.831306293254439,-0.850200788514161,3.76492175279715,-0.318883303335873,-0.723891223929502,-0.888706930675696,-0.670139156984592,-0.808468382950994,-0.76058633342607,"GBM"
"VU383Platelet-hiseq",1.21763187024403,-0.732858449051509,-0.618206790401227,-0.894406076004944,-0.726693827896138,-0.741061411433853,2.26827561203462,-0.706119087886661,-0.754427327599281,-0.735914329835703,-0.62519896908773,-0.85958558155128,2.87767457436549,-0.701409673027047,-0.734952833362995,-0.730463098375467,-0.839386732089238,-0.745295279634166,-0.799136577325704,-0.811638757594865,-0.701864487242125,-0.728617949516741,-0.586621568738738,-0.719386228225935,-0.658519566161066,-0.473386863606671,-0.716601568942676,-0.736717140712295,-0.729316671148266,4.14265169150774,-0.800159166586005,-0.847453249597835,-0.700716387113579,-0.806521472534304,-0.901331017738018,-0.71294918348975,-0.597848313880984,-0.891968900089878,-0.735305325001386,-0.694418419225691,-0.817460542912571,-0.838217903439711,-0.77192235299325,-0.851642616128221,-0.714590415488236,-0.874944513609585,-0.657469860446869,-0.793763807908999,-0.748449344201864,"GBM"
"VU393-GBM-vIII",-0.500500775019633,-0.1992284141149,7.04534507759679,-0.564554487058753,2.81561610790926,-0.297779050046245,-0.24481440348942,-0.30677353271268,-0.220685608290491,-0.159050724313559,-0.285565409395477,-0.473356913773685,-0.501274919681048,-0.180819977808979,-0.220113015534871,-0.140606565685017,-0.418788725150692,-0.311733074662668,-0.302323022299221,-0.315125583317605,-0.205308198412576,-0.175251035116358,-0.206251830752839,-0.255342355344996,-0.31981490737906,-0.151980928804596,-0.196080080412256,-0.20190310169236,-0.24461083466928,-0.202289279304228,-0.291374624670846,-0.451587667653866,-0.375757266383325,-0.326136724221296,-0.52176600704691,-0.217365980196339,-0.212240682043565,-0.563362149747607,-0.398824337607341,-0.085130590864622,-0.373227258442066,-0.405354018829486,2.0684389219988,-0.439706324931007,-0.148045176787255,-0.477021179569984,-0.335488103701367,-0.327751892123341,-0.240359170716474,"GBM"
"VU394Platelet-hiseq",-0.846388235518498,-0.722031724498042,-0.603629258046925,-0.873334679708588,3.38543735407633,-0.723764341984852,-0.634219682655038,-0.690830429846577,-0.741119219153059,-0.722057990493407,-0.611459844999669,-0.841712846870344,-0.813623970705357,-0.687358669393825,-0.719416063528201,-0.720206003850005,-0.822465896822703,2.22452268590803,-0.784816337255682,-0.794529523179024,-0.684422852751023,-0.714931041346051,-0.573130215737852,-0.70250456536153,-0.642565256738366,-0.460862303024399,-0.702931447769797,-0.724930772175196,-0.712195782229385,-0.737700861718875,-0.7848938916381,-0.828446821202591,-0.684315099309861,-0.7930534368799,-0.881446004842095,-0.698710394945806,-0.584540750377111,-0.503715579924255,-0.714033746419729,-0.681360563511899,-0.801127492339575,-0.823965383990563,-0.76171932387158,-0.838587626102827,-0.703455845339612,-0.858671100558626,-0.642655138670809,-0.776495549726525,-0.734075390837253,"GBM"
"VU398-GBM",1.50167323590732,0.315215828628365,0.962895307728908,-0.185559717204173,0.337005940224928,0.233438363088166,0.170983431581325,0.104197604579484,1.62934920148194,0.422567775678759,0.0225988963272913,-0.0172999947118081,-0.180475000536619,0.326476101749774,0.357800737684125,0.445591918626839,0.071003792587333,2.20811897744324,0.227120783295908,0.272049991545599,0.350200577559722,0.431088003488259,0.160394935264974,0.304590555946436,-0.0117111163915849,0.0880944240437253,0.281655727120455,0.338315795299934,0.329790778230596,0.466046084870964,0.275508475599955,0.0299861415642653,-0.05880060216969,0.240194469312901,-0.0612513571284464,0.249136674885307,0.115313174119035,-0.272450574958512,-0.0958039300061813,0.449593044109181,0.150856658202716,0.102975940417455,0.298818438297306,0.0842488891137147,0.360855640401279,0.0154485131144105,-0.0203616529013712,0.169999251496195,0.265017651043812,"GBM"
