"","ENSG00000005381","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000103037","ENSG00000115423","ENSG00000117519","ENSG00000117643","ENSG00000124107","ENSG00000128596","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000152583","ENSG00000155275","ENSG00000156042","ENSG00000159899","ENSG00000165138","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000184206","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197457","ENSG00000198178","ENSG00000198610","ENSG00000211786","ENSG00000211793","ENSG00000213160","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000268632","ENSG00000269161"
"VU280-GBM",-0.766532935975895,-1.40009356397153,-1.30370296166764,-0.568769380607781,-1.45931755412103,-1.32476646004515,-1.35299245360008,-1.17839541069751,-1.45312970280596,-1.00791069381082,-0.997828737985651,-0.891481257430687,-0.620581016132105,-1.4923415195726,-1.48607248698989,-1.54715141183572,-1.04597731214399,-1.30519285793581,-1.27245154459108,-1.33311900070484,-1.5193231783463,-1.54897547970522,-1.33769986542048,-0.779108509064725,-0.951540704810965,0.019550876000029,-1.42528714374389,-1.4332815939163,-1.44757454770477,-1.52146196771842,0.618066481030973,-0.99070533398899,-0.834722245621938,-1.25752675614434,-0.822470474339062,-1.38583675560255,-1.23587122848196,3.06947451909515,-0.830092943795693,-1.66689050010689,-1.16765647551513,-1.05542826909882,-1.31689010410267,-0.980988224248927,-1.50262317025916,-0.289278059744211,-0.911217232834777,-1.24712553828892,-1.37252068674016
"VU284-GBM-vIII",-0.91599017890867,-1.47966271351244,0.635864108170304,-0.68339994237186,0.205411371081853,-1.38828762282748,-0.840374710808309,-0.699681706761401,-1.51057860958072,-1.63993799230416,-1.11692373077849,-0.963475245428219,-0.774528754629322,-1.58274515616589,-1.54025760924481,-1.61670639755991,-1.10607630814845,0.255525190755384,-1.33765485250781,-1.38862538547397,-1.58440781785787,-1.60707891657299,-1.43810016519597,0.382687919570425,-1.0741348498995,0.298453791238226,-1.52978633719989,-1.5062490292603,-0.680536181044078,-1.56039578039991,-1.39815072886251,-1.06339278283767,-0.933004296464057,-1.29809748691591,-0.905056537809635,-1.48662406640427,-1.37499199784551,-0.635924287626908,-0.97260841787678,-1.77719406617175,-1.22274159736463,-1.10048769397385,-0.74328281646336,-1.02024849667692,-1.59845906077235,-0.486498357316728,-1.006093257671,-1.31515166798273,-1.45696753272056
"VU306-GBM-vIII",1.7195018209508,-1.48438000803506,0.910569169124306,-0.705543154827582,-1.52611077461677,-1.39869578360569,-1.45006721109397,-1.27126585029341,-1.51647284863587,-1.64604692135439,-1.13132404225581,-0.97695274179127,3.30617406813335,-1.59026062054153,-1.54796303759381,-1.62037483652846,-1.11723771950615,-1.39530046384507,-1.34511304019071,-1.397434179231,-1.59409631287266,-1.61295176609366,-1.44951884610821,-1.48632194839199,-1.0923002512915,-1.48423608065172,-1.53731739665004,-1.51147261451723,0.655650299066612,-0.0326804309533175,-1.40578020537125,-1.07715714603228,3.81457212219347,-1.30452554457882,-0.920708411310283,-1.4950811858382,-1.38718777805623,-0.678648794739958,-1.00105771509632,-1.78362383791862,-1.23240529446156,-1.10863481537588,-1.38008226736378,-1.02725521488392,-1.60328235250497,-0.983045716235944,-1.02234326850903,-1.32607068819963,-1.46479699759827
"VU360-GBM-WT",-0.23644175945124,-1.11738268176228,-0.880226340313201,-0.113770813105217,-1.07781563564379,-0.929591222003791,-0.903037060976294,-0.749169031840486,-1.12106625911708,-1.23098040702787,-0.572833549604383,-0.475771502530541,2.62888160035169,-1.14008476469398,-1.11171997842943,-1.28364993316901,-0.64193594889223,-0.883200574229342,-0.917865126884607,-0.95308815681113,-1.1178947251018,-1.21353204455037,-0.927469145551452,-1.03264390995157,-0.482595198069335,-0.858363269113591,-1.08557245845552,-1.12908948382951,-1.06287011077584,-1.20117078216797,-0.976509162227508,-0.574494330456879,-0.352513277860813,-0.912606367980566,-0.399691417262378,-1.0261578606211,-0.841759215460499,0.12631954546203,-0.282081989614597,-1.35871131612681,-0.778955425541399,-0.68762060545951,-1.04433799759731,-0.641280737670092,-1.22363873283154,-0.529440221446309,-0.452968058329412,-0.833147815805587,-1.01642533792595
"VU372-GBM-vIII",2.07448251629205,-1.4296749390747,-1.34801332102069,-0.598293517832771,-1.47578943507283,-1.34407456060459,-1.37931989135228,0.907127651908221,-1.48053012712824,-1.59620627096011,-1.04229799218026,-0.910354791708189,1.58527841396017,-1.52919980786083,-1.50179785202719,-1.57472281630296,-1.06180349748387,0.987221499251135,-1.30587900183479,-1.35025793497006,-1.53687214533546,-1.57471105132902,-1.38062424352881,-1.43387719581197,-1.00060868843248,-1.31887110192236,-1.46083309604344,-1.46511065136745,-1.46474266774964,-1.53250798524607,-1.36401420629442,-1.0096301202057,1.30189346600738,-1.27131759401865,-0.843967562590109,-1.42347165747119,-1.27710903014968,-0.480093771331222,-0.866101161496871,-1.69913674393402,-1.18431004428572,-1.06748292501171,-0.349329340269999,-0.991573430943142,-1.53181462984148,-0.929801470222347,-0.942572726379338,-1.27135364055581,-1.40978062524501
"VU378-GBM",3.94716472021341,-1.49853875940539,0.464266098472207,0.769504133388295,-0.70617034187343,-1.43143668500805,1.31681815602597,-0.577037042646141,-1.5344533297673,-1.66477717674981,-1.1763560830985,-1.01908579673498,2.26922423477028,-1.6134563066362,-0.601019445636193,-1.63134829829376,-1.15191611112238,-1.43767248521542,-1.36792106870933,-1.42482705683679,-1.62470335808121,-1.63095703549196,0.577820856257892,-1.51566388438457,-1.14999266535422,-1.53592404557003,-1.56043157918991,-1.21190852786086,-1.14806135361689,-0.757505426809192,-1.42925616258369,-1.1205381015492,-0.527948985372225,-1.32406921407928,-0.970097324133099,-1.52118117270801,-1.42524275628208,-0.823508347143906,-1.09468277169861,-1.80151998496915,-1.26235246895648,-1.1334790827734,0.513163018215461,-0.735911437621394,-1.61780641506745,-1.01588620955456,-1.07353518459628,-1.36020321130433,-1.48887827538534
"VU383Platelet-hiseq",1.84890456987802,-1.49435672246263,-1.44176517314033,-0.75478177944188,-1.545011735112,-1.42151610174846,1.18245908653151,-1.29778536518289,-1.5290957326496,-1.65918090995806,-1.16275304763213,-1.00635986018853,4.8345893229051,-1.60650074225389,-1.56468901493794,-1.62811301031391,-1.14147788546108,-1.42471679433411,-1.36111552780152,-1.41657891216242,-1.61540861633195,-1.62557761606798,-1.47452782137752,-1.50678138571306,-1.1324143943196,-1.52017918598982,-1.55352142585363,-1.52258053447059,-1.53716938629485,0.434446613106617,-1.42222796103009,-1.10737720133369,-0.993157324134492,-1.31825610380037,-0.955102356949767,-1.51335481020077,-1.41376206641278,-0.777700619736643,-1.06557922489288,-1.79617810602763,-1.25335162655888,-1.12607702220417,-1.38860750189278,-1.04215652155084,-1.6135090136539,-1.00604081300978,-1.05800746329092,-1.34989565832842,-1.48167051499704
"VU393-GBM-vIII",-0.505387574767094,-1.24719405526697,5.81291236249074,-0.360546352851215,0.516301652151414,-1.12389666556632,-1.10964151523674,-0.946255416872647,-1.27353867680083,-1.38279483702524,-0.767977113607057,-0.68347798060763,-0.359036288532495,-1.30182927491503,-1.28361011909685,-1.40464099159216,-0.8358391984972,-1.09490698844725,-1.08067934029191,-1.13469680882206,-1.30629253858995,-1.36755644117176,-1.11583335984653,-1.22070286790239,-0.697919277048098,-1.04978381473016,-1.24155807016026,-1.26876431810217,-1.2489481716891,-1.35077149799213,-1.14486782558236,-0.786893521998332,-0.57481231277271,-1.07124958627736,-0.620715104079261,-1.19131036912493,-1.02272225913685,-0.164634124097459,-0.539960041861171,-1.50021688126596,-0.964564548750877,-0.858688603454429,-0.197974715471333,-0.805363919259069,-1.35173904763338,-0.721373301538418,-0.663380739599673,-1.02323252827211,-1.17993240198721
"VU394Platelet-hiseq",-0.979344072496501,-1.48934208321365,-1.42796539748574,-0.729597450531128,0.847887590241901,-1.40990286263626,-1.46480431051812,-1.28432729334277,-1.52272377241041,-1.65254208029472,-1.14678326081405,-0.991418498636481,-0.839133441202672,-1.59827749094131,-1.55620665215465,-1.62422702534504,-1.12918191213767,0.834417132709117,-1.35303218649807,-1.40686560094827,-1.60455085505778,-1.61919575254308,-1.46180526982649,-1.49637400534955,-1.11194798098909,-1.50184879850463,-1.54532853282655,-1.51698686779667,-1.52698877152203,-1.57075755999841,-1.4139062091324,-1.09199003361575,-0.972042677722428,-1.31133104509159,-0.937584159412393,-1.50410202950167,-1.4002670350954,-0.0533542629856224,-1.03235075084899,-1.78983525985555,-1.2427338405632,-1.11727296445253,-1.38433055969531,-1.03465214495896,-1.60836432996343,-0.994399093110285,-1.03985026961642,-1.33779102521191,-1.47313429487104
"VU398-GBM",2.23811570429119,-1.00891771616439,0.0549802094730056,0.0924245279215462,-0.926031857068546,-0.767237703336703,-0.730407002309493,-0.584491874553073,-0.387736739085605,-1.10413060579427,-0.409779732479208,-0.30222063875913,0.134050299222424,-1.00493780288988,-0.968095751285453,-1.18255485470852,-0.479918486709196,0.82193886813125,-0.781824365745649,-0.8013435472224,-0.960477375550577,-1.08483568744594,-0.770079870083594,-0.875509693944105,-0.30267938493,-0.698420250759495,-0.955237391885175,-1.01238302209772,-0.907391049653741,-1.07617066810091,-0.835835690128141,-0.3970224311804,-0.166769482666354,-0.780050716265808,-0.215013249705292,-0.888163317695874,-0.690554049249565,0.378106216784346,-0.066609852542047,-1.24047517209452,-0.623868189191921,-0.544683326417858,-0.939770551785809,-0.504179679683067,-1.11660345646911,-0.369068950676749,-0.277156004122045,-0.674320963876293,-0.879805659698936
