"","ENSG00000005381","ENSG00000012223","ENSG00000049768","ENSG00000073712","ENSG00000075131","ENSG00000078018","ENSG00000086548","ENSG00000094963","ENSG00000096696","ENSG00000100448","ENSG00000100985","ENSG00000101425","ENSG00000103037","ENSG00000103175","ENSG00000112077","ENSG00000114739","ENSG00000115423","ENSG00000115590","ENSG00000117318","ENSG00000117519","ENSG00000117560","ENSG00000117643","ENSG00000118113","ENSG00000118520","ENSG00000124107","ENSG00000124469","ENSG00000128596","ENSG00000132386","ENSG00000133063","ENSG00000134121","ENSG00000137103","ENSG00000147174","ENSG00000152583","ENSG00000154016","ENSG00000155275","ENSG00000155659","ENSG00000156042","ENSG00000159713","ENSG00000159899","ENSG00000160185","ENSG00000163687","ENSG00000165138","ENSG00000166428","ENSG00000172232","ENSG00000175445","ENSG00000178038","ENSG00000179593","ENSG00000179639","ENSG00000181007","ENSG00000184206","ENSG00000186854","ENSG00000196081","ENSG00000196533","ENSG00000196634","ENSG00000197353","ENSG00000197457","ENSG00000198178","ENSG00000198502","ENSG00000198610","ENSG00000198722","ENSG00000204219","ENSG00000211786","ENSG00000211793","ENSG00000211800","ENSG00000213160","ENSG00000225113","ENSG00000228486","ENSG00000229391","ENSG00000229807","ENSG00000230063","ENSG00000231027","ENSG00000232021","ENSG00000237702","ENSG00000239219","ENSG00000239961","ENSG00000254977","ENSG00000256862","ENSG00000266088","ENSG00000266371","ENSG00000268632","ENSG00000269161","cancer_type"
"VU280-GBM",-0.624209078605594,-1.05137296198282,-0.504199158802513,-0.470652812104852,-0.733629729022112,-1.12842255889068,-0.378785191996953,-0.449923050943037,-0.509007746483544,-0.458621758446677,-0.517658494399999,-0.646277047801472,-0.502861327644112,-0.566359378615012,-0.532100921587018,-0.554651624509716,0.713633740767569,3.08543573029405,-1.0100536395475,-0.492461898611735,-0.682782039138945,-0.695334545115003,-0.47754681293484,-0.602881283067154,-0.645637629311048,-0.515964602908881,-0.485615337411217,-0.828276996237908,-0.455608707943101,-0.450672281864098,-0.677899615801423,-0.849300706164105,-0.491195230546261,-0.575992347023271,-0.608120355543699,2.67574896947389,-0.528332214166096,-0.764477420958088,-0.440006424941422,-1.0617458596823,4.77907005668467,-0.454939538219349,3.89692336666388,-0.447146324040723,0.497084348193553,-0.534776723349047,0.989406083248274,-0.91429152843664,-0.615441650737837,-0.539968773308945,-1.16887497608515,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.584691465856897,4.44371025480668,-0.62450063710455,-0.94383603889976,-0.581298017683855,-0.754424856981969,-0.975479315271837,-0.569368039261339,-0.71915931498025,-0.717894841046082,-0.539644491494582,-0.773300354490724,-0.46163066697826,0.991298560534572,-0.593162743880469,-0.42753600107755,-0.962150341514223,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,0.31483035927251,-0.583996964389022,-0.849592618226346,-0.64539099472072,-0.578334879178989,"GBM"
"VU284-GBM-vIII",-0.624209078605594,-0.740523978819645,-0.504199158802513,1.692578882715,-0.733629729022112,0.962894177451043,-0.378785191996953,2.07708673291292,-0.509007746483544,0.223297470869209,0.216407282987623,0.543139893397541,-0.502861327644112,1.71949816403944,-0.00838800329469086,-0.554651624509716,-0.444045139577054,0.194377541430765,-1.0100536395475,-0.492461898611735,0.322826850787649,-0.695334545115003,-0.47754681293484,-0.602881283067154,-0.645637629311048,-0.0271073673012499,-0.485615337411217,-0.828276996237908,-0.455608707943101,-0.450672281864098,-0.677899615801423,1.76349718637038,1.10382332014318,-0.575992347023271,-0.608120355543699,0.409661190399171,-0.528332214166096,-0.764477420958088,-0.440006424941422,-1.0617458596823,-0.742432389323165,-0.454939538219349,-0.783543625273119,-0.447146324040723,2.36720894332195,-0.534776723349047,1.14545049368982,-0.165907890401989,-0.615441650737837,-0.539968773308945,-1.16887497608515,-0.49097363589531,0.61999523919934,-0.409772550488234,-0.584691465856897,-0.554915624009196,-0.62450063710455,-0.349330150824096,-0.581298017683855,3.00542599446713,-0.975479315271837,-0.569368039261339,-0.71915931498025,-0.717894841046082,-0.539644491494582,-0.773300354490724,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.962150341514223,-0.597826957696208,-0.645951908280255,1.03037472293621,-0.63676711901622,-0.504940112708961,0.108061154183699,-0.583996964389022,-0.849592618226346,-0.64539099472072,-0.578334879178989,"GBM"
"VU306-GBM-vIII",0.954449969843025,1.71570691934887,-0.504199158802513,2.47377443331333,-0.733629729022112,-0.245186929916718,-0.378785191996953,-0.449923050943037,-0.509007746483544,-0.458621758446677,-0.517658494399999,2.29254117519638,-0.502861327644112,2.45681016519778,2.71352863379982,-0.554651624509716,-0.444045139577054,-0.83817583719646,-1.0100536395475,-0.492461898611735,-0.682782039138945,-0.695334545115003,-0.47754681293484,2.0494592272571,1.97212268258556,1.58411299346029,-0.485615337411217,-0.828276996237908,-0.455608707943101,-0.450672281864098,-0.677899615801423,-0.849300706164105,-0.491195230546261,-0.575992347023271,-0.608120355543699,-0.555673327714308,-0.528332214166096,-0.764477420958088,-0.440006424941422,-1.0617458596823,-0.742432389323165,-0.454939538219349,-0.783543625273119,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.91429152843664,-0.615441650737837,-0.539968773308945,-1.16887497608515,-0.49097363589531,3.51980980636352,3.75135226438294,-0.584691465856897,-0.554915624009196,-0.62450063710455,-0.94383603889976,2.82157508775786,1.70195989660103,-0.975479315271837,-0.569368039261339,-0.71915931498025,-0.717894841046082,-0.539644491494582,-0.773300354490724,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.962150341514223,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.849592618226346,-0.64539099472072,-0.578334879178989,"GBM"
"VU360-GBM-WT",-0.624209078605594,1.16948885524164,-0.504199158802513,-0.470652812104852,-0.733629729022112,1.0612348518866,-0.378785191996953,-0.449923050943037,-0.509007746483544,-0.458621758446677,-0.517658494399999,1.2955068529175,-0.502861327644112,2.12319780073019,1.05471479965501,-0.554651624509716,-0.444045139577054,-0.39243175314415,-1.0100536395475,-0.492461898611735,-0.682782039138945,-0.695334545115003,2.61436477070833,-0.602881283067154,1.5978566245468,1.53936197654716,-0.485615337411217,-0.828276996237908,-0.455608707943101,-0.450672281864098,-0.677899615801423,2.59864156937115,-0.491195230546261,-0.575992347023271,-0.608120355543699,-0.555673327714308,-0.528332214166096,-0.764477420958088,-0.440006424941422,-1.0617458596823,-0.742432389323165,-0.454939538219349,-0.783543625273119,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.91429152843664,-0.615441650737837,-0.539968773308945,-1.16887497608515,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.584691465856897,-0.554915624009196,-0.62450063710455,-0.94383603889976,-0.581298017683855,0.666486189504611,-0.975479315271837,-0.569368039261339,-0.71915931498025,-0.717894841046082,-0.539644491494582,-0.773300354490724,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.962150341514223,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.849592618226346,-0.64539099472072,-0.578334879178989,"GBM"
"VU372-GBM-vIII",1.24834959904047,0.644676522504262,-0.504199158802513,-0.470652812104852,-0.733629729022112,1.11221957171507,-0.378785191996953,-0.449923050943037,-0.509007746483544,-0.458621758446677,1.90145100904772,1.03264612408189,-0.502861327644112,1.28639493206002,-0.532100921587018,-0.554651624509716,-0.444045139577054,0.867221075007745,-1.0100536395475,-0.492461898611735,-0.682782039138945,-0.695334545115003,-0.47754681293484,0.884530513794061,0.736853764640642,0.0658531832080097,-0.485615337411217,-0.828276996237908,-0.455608707943101,-0.450672281864098,-0.677899615801423,0.755737077835813,2.67539517644083,-0.575992347023271,-0.608120355543699,0.384237549838715,-0.528332214166096,-0.764477420958088,-0.440006424941422,-1.0617458596823,-0.742432389323165,-0.454939538219349,-0.783543625273119,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.91429152843664,-0.615441650737837,-0.539968773308945,-1.16887497608515,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.584691465856897,-0.554915624009196,-0.62450063710455,-0.94383603889976,1.28461135332942,3.07061693371979,-0.975479315271837,-0.569368039261339,-0.71915931498025,-0.717894841046082,-0.539644491494582,-0.773300354490724,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.962150341514223,-0.597826957696208,-0.645951908280255,1.73019392343955,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.849592618226346,-0.64539099472072,-0.578334879178989,"GBM"
"VU378-GBM",4.81743290635919,2.01784407207374,-0.504199158802513,1.46030404948142,0.401905708301185,3.02157256224127,3.31466550140301,0.632136421730935,-0.509007746483544,3.84040060812253,0.316664104948452,2.97357227450022,-0.502861327644112,0.555926631217898,5.20782338157086,-0.554651624509716,-0.444045139577054,-0.16975271910672,-0.611407859539062,-0.492461898611735,0.127219308349949,-0.695334545115003,2.8228714538935,0.790123661018428,1.19455176189646,3.36458599537445,-0.485615337411217,-0.239840779815633,0.86858320816265,-0.450672281864098,-0.677899615801423,-0.139408975649433,-0.491195230546261,-0.575992347023271,-0.608120355543699,0.0851729591500873,-0.528332214166096,-0.764477420958088,-0.440006424941422,-1.0617458596823,-0.182880107032912,-0.454939538219349,-0.783543625273119,1.79675551793261,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.484917669661578,-0.615441650737837,-0.539968773308945,-1.16887497608515,0.311275074267537,0.160357579778702,1.08169018590173,-0.584691465856897,-0.554915624009196,-0.62450063710455,0.294821979261046,-0.0581745619551509,1.76600979152101,-0.975479315271837,-0.569368039261339,-0.71915931498025,-0.717894841046082,-0.539644491494582,-0.773300354490724,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.016850816526084,-0.597826957696208,-0.645951908280255,3.50800078352506,0.0964690294636832,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.849592618226346,-0.64539099472072,-0.578334879178989,"GBM"
"VU383Platelet-hiseq",1.04618347251599,1.1404173153453,-0.504199158802513,-0.470652812104852,-0.733629729022112,-1.12842255889068,-0.378785191996953,-0.449923050943037,-0.509007746483544,3.52932578364962,-0.517658494399999,-0.646277047801472,-0.502861327644112,3.64139433056648,-0.532100921587018,-0.554651624509716,-0.444045139577054,1.2178287842454,-1.0100536395475,-0.492461898611735,-0.682782039138945,-0.695334545115003,-0.47754681293484,-0.602881283067154,2.80540595211056,-0.515964602908881,-0.485615337411217,-0.828276996237908,-0.455608707943101,-0.450672281864098,-0.677899615801423,-0.849300706164105,-0.491195230546261,-0.575992347023271,-0.608120355543699,-0.555673327714308,-0.528332214166096,-0.764477420958088,-0.440006424941422,-1.0617458596823,-0.742432389323165,-0.454939538219349,-0.783543625273119,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.91429152843664,-0.615441650737837,-0.539968773308945,-1.16887497608515,-0.49097363589531,-0.449906669511745,5.47639510218247,-0.584691465856897,-0.554915624009196,-0.62450063710455,-0.94383603889976,-0.581298017683855,0.705789911277633,-0.975479315271837,-0.569368039261339,-0.71915931498025,-0.717894841046082,-0.539644491494582,-0.773300354490724,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.962150341514223,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.849592618226346,-0.64539099472072,-0.578334879178989,"GBM"
"VU393-GBM-vIII",-0.624209078605594,-1.05137296198282,-0.504199158802513,4.66029581669023,-0.733629729022112,1.77941040191662,-0.378785191996953,3.50207088927543,-0.509007746483544,-0.458621758446677,-0.517658494399999,-0.646277047801472,-0.502861327644112,0.970282375733301,-0.532100921587018,-0.554651624509716,-0.444045139577054,0.543519115441361,-1.0100536395475,-0.492461898611735,-0.682782039138945,-0.695334545115003,-0.47754681293484,-0.602881283067154,-0.645637629311048,-0.515964602908881,-0.485615337411217,-0.828276996237908,-0.455608707943101,-0.450672281864098,-0.677899615801423,2.99324113113576,-0.491195230546261,-0.575992347023271,-0.608120355543699,-0.555673327714308,-0.528332214166096,-0.764477420958088,-0.440006424941422,-1.0617458596823,-0.742432389323165,-0.454939538219349,-0.783543625273119,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.91429152843664,-0.615441650737837,-0.539968773308945,-1.16887497608515,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.584691465856897,-0.554915624009196,-0.62450063710455,-0.104137769155414,-0.581298017683855,2.99668976678346,-0.975479315271837,-0.569368039261339,-0.71915931498025,-0.717894841046082,-0.539644491494582,-0.773300354490724,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.962150341514223,-0.597826957696208,-0.645951908280255,2.08826332391575,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.849592618226346,-0.64539099472072,-0.578334879178989,"GBM"
"VU394Platelet-hiseq",-0.624209078605594,1.17215420365934,-0.504199158802513,-0.470652812104852,-0.733629729022112,-0.532085250974733,2.09219006913912,4.30710919458455,-0.509007746483544,-0.458621758446677,-0.517658494399999,-0.646277047801472,-0.502861327644112,-0.0868755871221937,-0.532100921587018,-0.554651624509716,-0.444045139577054,-0.83817583719646,-1.0100536395475,-0.492461898611735,-0.682782039138945,-0.695334545115003,-0.47754681293484,-0.602881283067154,-0.645637629311048,-0.515964602908881,-0.485615337411217,-0.828276996237908,-0.455608707943101,-0.450672281864098,-0.677899615801423,-0.849300706164105,2.19670664298994,-0.575992347023271,-0.608120355543699,-0.555673327714308,-0.528332214166096,-0.764477420958088,-0.440006424941422,-1.0617458596823,0.766399484283386,-0.454939538219349,-0.783543625273119,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,0.373198775304536,-0.615441650737837,-0.539968773308945,-1.16887497608515,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.584691465856897,-0.554915624009196,-0.62450063710455,0.24892121318998,-0.581298017683855,-0.754424856981969,-0.975479315271837,-0.569368039261339,-0.71915931498025,-0.717894841046082,-0.539644491494582,-0.773300354490724,-0.46163066697826,-0.376968969092414,-0.593162743880469,-0.42753600107755,0.329313763266407,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.849592618226346,-0.64539099472072,-0.578334879178989,"GBM"
"VU398-GBM",1.56047584301835,0.731930811846635,-0.504199158802513,1.47834634837228,-0.733629729022112,0.7408434483577,-0.378785191996953,-0.449923050943037,-0.509007746483544,-0.458621758446677,-0.517658494399999,0.168912158534361,1.96212780472046,0.845773469271405,-0.532100921587018,-0.554651624509716,-0.444045139577054,-0.291060833705829,-1.0100536395475,-0.492461898611735,-0.682782039138945,-0.695334545115003,-0.47754681293484,0.428389361643696,-0.645637629311048,1.29342581765429,-0.485615337411217,-0.828276996237908,-0.455608707943101,-0.450672281864098,-0.677899615801423,3.09422898397861,1.94555462470834,-0.575992347023271,-0.608120355543699,-0.555673327714308,-0.528332214166096,-0.764477420958088,-0.440006424941422,-1.0617458596823,-0.742432389323165,-0.454939538219349,-0.783543625273119,-0.447146324040723,-0.445254053804432,-0.534776723349047,-0.322196680607796,-0.91429152843664,-0.615441650737837,-0.539968773308945,-1.16887497608515,-0.49097363589531,-0.449906669511745,-0.409772550488234,-0.584691465856897,-0.554915624009196,-0.62450063710455,-0.94383603889976,-0.581298017683855,0.272641881634872,-0.975479315271837,-0.569368039261339,-0.71915931498025,-0.717894841046082,-0.539644491494582,-0.773300354490724,-0.46163066697826,-0.682857600949436,-0.593162743880469,-0.42753600107755,-0.962150341514223,-0.597826957696208,-0.645951908280255,-0.518681577919484,-0.63676711901622,-0.504940112708961,-0.687470518468694,-0.583996964389022,-0.849592618226346,-0.64539099472072,-0.578334879178989,"GBM"
